ubigeo,year,population
010513,1994,3537
010513,1995,3516
010514,1990,4775
010514,1991,4858
010514,1992,4934
010514,1993,5005
010514,1994,5074
010514,1995,5139
010515,1990,1318
010515,1991,1377
010515,1992,1438
010515,1993,1500
010515,1994,1560
010515,1995,1618
010516,1990,839
010516,1991,837
010516,1992,835
010516,1993,832
010516,1994,830
010516,1995,828
010517,1990,791
010517,1991,808
010517,1992,825
010517,1993,841
010517,1994,858
010517,1995,874
010518,1990,1165
010518,1991,1179
010518,1992,1192
010518,1993,1203
010518,1994,1215
010518,1995,1228
010519,1990,708
010519,1991,712
010519,1992,715
010519,1993,717
010519,1994,720
010519,1995,724
010520,1990,1565
010520,1991,1568
010520,1992,1570
010520,1993,1573
010520,1994,1575
010520,1995,1578
010521,1990,4419
010521,1991,4415
010521,1992,4412
010521,1993,4408
010521,1994,4405
010521,1995,4401
010522,1990,1196
010522,1991,1187
010522,1992,1179
010522,1993,1170
010522,1994,1162
010522,1995,1153
010523,1990,1274
010523,1991,1288
010523,1992,1300
010523,1993,1311
010523,1994,1321
010523,1995,1330
010601,1990,4051
010601,1991,4081
010601,1992,4094
010601,1993,4096
010601,1994,4103
010601,1995,4127
010602,1990,1467
010602,1991,1485
010602,1992,1498
010602,1993,1511
010602,1994,1526
010602,1995,1546
010603,1990,628
010603,1991,623
010603,1992,616
010603,1993,609
010603,1994,604
010603,1995,601
010604,1990,4399
010604,1991,4390
010604,1992,4369
010604,1993,4345
010604,1994,4323
010604,1995,4312
010605,1990,2010
010605,1991,2009
010605,1992,2008
010605,1993,2008
010605,1994,2007
010605,1995,2006
010606,1990,1989
010606,1991,1978
010606,1992,1961
010606,1993,1942
010606,1994,1926
010606,1995,1916
010607,1990,1700
010607,1991,1696
010607,1992,1692
010607,1993,1689
010607,1994,1685
010607,1995,1681
010608,1990,778
010608,1991,786
010608,1992,793
010608,1993,799
010608,1994,805
010608,1995,810
010609,1990,3060
010609,1991,3286
010609,1992,3534
010609,1993,3786
010609,1994,4024
010609,1995,4229
010610,1990,743
010610,1991,729
010610,1992,712
010610,1993,695
010610,1994,681
010610,1995,673
010611,1990,585
010611,1991,577
010611,1992,568
010611,1993,558
010611,1994,550
010611,1995,547
010612,1990,146
010612,1991,160
010612,1992,176
010612,1993,192
010612,1994,208
010612,1995,221
010701,1990,38508
010701,1991,39887
010701,1992,41265
010701,1993,42662
010701,1994,44094
010701,1995,45577
010702,1990,26185
010702,1991,26620
010702,1992,27030
010702,1993,27427
010702,1994,27823
010702,1995,28230
010703,1990,10452
010703,1991,10624
010703,1992,10786
010703,1993,10943
010703,1994,11098
010703,1995,11254
010704,1990,5063
010704,1991,5311
010704,1992,5574
010704,1993,5839
010704,1994,6093
010704,1995,6323
010705,1990,7138
010705,1991,7358
010705,1992,7582
010705,1993,7803
010705,1994,8018
010705,1995,8223
010706,1990,8718
010706,1991,8849
010706,1992,8970
010706,1993,9087
010706,1994,9203
010706,1995,9323
010707,1990,3878
010707,1991,3906
010707,1992,3930
010707,1993,3951
010707,1994,3970
010707,1995,3991
020101,1990,44285
020101,1991,45083
020101,1992,45943
020101,1993,46820
020101,1994,47687
020101,1995,48498
020102,1990,2339
020102,1991,2327
020102,1992,2314
020102,1993,2302
020102,1994,2289
020102,1995,2277
020103,1990,485
020103,1991,484
020103,1992,482
020103,1993,481
020103,1994,479
020103,1995,478
020104,1990,3041
020104,1991,3103
020104,1992,3163
020104,1993,3221
020104,1994,3279
020104,1995,3339
020105,1990,47231
020105,1991,48121
020105,1992,48955
020105,1993,49770
020105,1994,50599
020105,1995,51478
020106,1990,3707
020106,1991,3733
020106,1992,3758
020106,1993,3784
020106,1994,3809
020106,1995,3835
020107,1990,1634
020107,1991,1632
020107,1992,1629
020107,1993,1627
020107,1994,1624
020107,1995,1622
020108,1990,3756
020108,1991,3700
020108,1992,3644
020108,1993,3589
020108,1994,3533
020108,1995,3477
020109,1990,1748
020109,1991,1721
020109,1992,1694
020109,1993,1666
020109,1994,1639
020109,1995,1612
020110,1990,4039
020110,1991,4053
020110,1992,4067
020110,1993,4081
020110,1994,4095
020110,1995,4109
020111,1990,4168
020111,1991,4206
020111,1992,4244
020111,1993,4282
020111,1994,4320
020111,1995,4358
020112,1990,4876
020112,1991,4902
020112,1992,4928
020112,1993,4954
020112,1994,4980
020112,1995,5006
020201,1990,2827
020201,1991,2725
020201,1992,2627
020201,1993,2531
020201,1994,2436
020201,1995,2343
020202,1990,1973
020202,1991,1994
020202,1992,2012
020202,1993,2028
020202,1994,2043
020202,1995,2055
020203,1990,489
020203,1991,488
020203,1992,486
020203,1993,485
020203,1994,483
020203,1995,482
020204,1990,2884
020204,1991,2890
020204,1992,2896
020204,1993,2902
020204,1994,2908
020204,1995,2914
020205,1990,1124
020205,1991,1117
020205,1992,1110
020205,1993,1103
020205,1994,1096
020205,1995,1089
020301,1990,4572
020301,1991,4586
020301,1992,4598
020301,1993,4606
020301,1994,4617
020301,1995,4625
020302,1990,2857
020302,1991,2916
020302,1992,2977
020302,1993,3038
020302,1994,3096
020302,1995,3150
020303,1990,2621
020303,1991,2603
020303,1992,2584
020303,1993,2565
020303,1994,2547
020303,1995,2534
020304,1990,2660
020304,1991,2622
020304,1992,2581
020304,1993,2541
020304,1994,2506
020304,1995,2480
020305,1990,5292
020305,1991,5347
020305,1992,5406
020305,1993,5469
020305,1994,5525
020305,1995,5573
020306,1990,1713
020306,1991,1707
020306,1992,1700
020306,1993,1693
020306,1994,1686
020306,1995,1681
020401,1990,5156
020401,1991,5216
020401,1992,5278
020401,1993,5339
020401,1994,5400
020401,1995,5456
020402,1990,4961
020402,1991,4939
020402,1992,4915
020402,1993,4892
020402,1994,4869
020402,1995,4851
020501,1990,5154
020501,1991,5079
020501,1992,5011
020501,1993,4945
020501,1994,4864
020501,1995,4763
020502,1990,255
020502,1991,245
020502,1992,234
020502,1993,224
020502,1994,216
020502,1995,211
020503,1990,1443
020503,1991,1435
020503,1992,1423
020503,1993,1410
020503,1994,1401
020503,1995,1398
020504,1990,3656
020504,1991,3629
020504,1992,3593
020504,1993,3556
020504,1994,3526
020504,1995,3511
020505,1990,1905
020505,1991,1879
020505,1992,1849
020505,1993,1817
020505,1994,1792
020505,1995,1776
020506,1990,245
020506,1991,237
020506,1992,229
020506,1993,220
020506,1994,213
020506,1995,209
020507,1990,1749
020507,1991,1780
020507,1992,1809
020507,1993,1837
020507,1994,1862
020507,1995,1885
020508,1990,8436
020508,1991,8368
020508,1992,8330
020508,1993,8289
020508,1994,8214
020508,1995,8073
020509,1990,2448
020509,1991,2385
020509,1992,2315
020509,1993,2247
020509,1994,2189
020509,1995,2152
020510,1990,1665
020510,1991,1667
020510,1992,1669
020510,1993,1671
020510,1994,1674
020510,1995,1676
020511,1990,369
020511,1991,363
020511,1992,356
020511,1993,349
020511,1994,343
020511,1995,339
020512,1990,674
020512,1991,661
020512,1992,647
020512,1993,633
020512,1994,619
020512,1995,606
020513,1990,1308
020513,1991,1275
020513,1992,1237
020513,1993,1200
020513,1994,1170
020513,1995,1152
020514,1990,353
020514,1991,341
020514,1992,327
020514,1993,314
020514,1994,303
020514,1995,296
020515,1990,744
020515,1991,697
020515,1992,649
020515,1993,604
020515,1994,567
020515,1995,543
020601,1990,11536
020601,1991,11628
020601,1992,11744
020601,1993,11873
020601,1994,12008
020601,1995,12131
020602,1990,2343
020602,1991,2373
020602,1992,2403
020602,1993,2432
020602,1994,2462
020602,1995,2492
020603,1990,1814
020603,1991,1841
020603,1992,1865
020603,1993,1889
020603,1994,1913
020603,1995,1939
020604,1990,2363
020604,1991,2385
020604,1992,2405
020604,1993,2423
020604,1994,2440
020604,1995,2457
020605,1990,1764
020605,1991,1799
020605,1992,1833
020605,1993,1867
020605,1994,1900
020605,1995,1934
020606,1990,7756
020606,1991,7851
020606,1992,7937
020606,1993,8018
020606,1994,8098
020606,1995,8183
020607,1990,1438
020607,1991,1443
020607,1992,1445
020607,1993,1447
020607,1994,1449
020607,1995,1454
020608,1990,2252
020608,1991,2294
020608,1992,2335
020608,1993,2374
020608,1994,2413
020608,1995,2453
020609,1990,3248
020609,1991,3315
020609,1992,3380
020609,1993,3443
020609,1994,3506
020609,1995,3571
020610,1990,2417
020610,1991,2486
020610,1992,2555
020610,1993,2624
020610,1994,2690
020610,1995,2754
020611,1990,2837
020611,1991,2870
020611,1992,2900
020611,1993,2928
020611,1994,2956
020611,1995,2984
020701,1990,12000
020701,1991,12043
020701,1992,12067
020701,1993,12082
020701,1994,12097
020701,1995,12124
020702,1990,4378
020702,1991,4441
020702,1992,4517
020702,1993,4595
020702,1994,4663
020702,1995,4708
020703,1990,5448
020703,1991,5353
020703,1992,5264
020703,1993,5182
020703,1994,5110
020703,1995,5049
020801,1990,22909
020801,1991,23337
020801,1992,23783
020801,1993,24236
020801,1994,24688
020801,1995,25130
020802,1990,3695
020802,1991,3712
020802,1992,3723
020802,1993,3732
020802,1994,3740
020802,1995,3752
020803,1990,2061
020803,1991,2103
020803,1992,2143
020803,1993,2182
020803,1994,2220
020803,1995,2257
020804,1990,6538
020804,1991,6608
020804,1992,6668
020804,1993,6724
020804,1994,6783
020804,1995,6849
020901,1990,2692
020901,1991,2662
020901,1992,2638
020901,1993,2613
020901,1994,2591
020901,1995,2571
020902,1990,792
020902,1991,784
020902,1992,774
020902,1993,765
020902,1994,756
020902,1995,749
020903,1990,488
020903,1991,479
020903,1992,470
020903,1993,461
020903,1994,452
020903,1995,446
020904,1990,2508
020904,1991,2548
020904,1992,2589
020904,1993,2629
020904,1994,2664
020904,1995,2691
020905,1990,1446
020905,1991,1466
020905,1992,1485
020905,1993,1504
020905,1994,1523
020905,1995,1543
020906,1990,872
020906,1991,869
020906,1992,864
020906,1993,860
020906,1994,856
020906,1995,852
020907,1990,460
020907,1991,459
020907,1992,456
020907,1993,454
020907,1994,453
020907,1995,452
021001,1990,9688
021001,1991,9612
021001,1992,9539
021001,1993,9465
021001,1994,9392
021001,1995,9316
021002,1990,2355
021002,1991,2348
021002,1992,2341
021002,1993,2335
021002,1994,2328
021002,1995,2321
021003,1990,4176
021003,1991,4132
021003,1992,4087
021003,1993,4043
021003,1994,3998
021003,1995,3954
021004,1990,9752
021004,1991,9711
021004,1992,9670
021004,1993,9629
021004,1994,9588
021004,1995,9547
021005,1990,2784
021005,1991,2774
021005,1992,2764
021005,1993,2754
021005,1994,2744
021005,1995,2734
021006,1990,2199
021006,1991,2195
021006,1992,2191
021006,1993,2187
021006,1994,2183
021006,1995,2179
021007,1990,4724
021007,1991,4642
021007,1992,4560
021007,1993,4477
021007,1994,4395
021007,1995,4313
021008,1990,3519
021008,1991,3471
021008,1992,3422
021008,1993,3374
021008,1994,3325
021008,1995,3277
021009,1990,2843
021009,1991,2812
021009,1992,2781
021009,1993,2750
021009,1994,2719
021009,1995,2688
021010,1990,2521
021010,1991,2537
021010,1992,2553
021010,1993,2569
021010,1994,2585
021010,1995,2601
021011,1990,4021
021011,1991,3975
021011,1992,3928
021011,1993,3882
021011,1994,3835
021011,1995,3789
021012,1990,765
021012,1991,755
021012,1992,744
021012,1993,734
021012,1994,723
021012,1995,713
021013,1990,1835
021013,1991,1831
021013,1992,1827
021013,1993,1823
021013,1994,1819
021013,1995,1815
021014,1990,11965
021014,1991,11978
021014,1992,11992
021014,1993,12005
021014,1994,12019
021014,1995,12032
021015,1990,2549
021015,1991,2548
021015,1992,2547
021015,1993,2545
021015,1994,2544
021015,1995,2543
021016,1990,2163
021016,1991,2148
021016,1992,2133
021016,1993,2118
021016,1994,2103
021016,1995,2088
021101,1990,17899
021101,1991,18096
021101,1992,18299
021101,1993,18506
021101,1994,18707
021101,1995,18897
021102,1990,1194
021102,1991,1199
021102,1992,1203
021102,1993,1206
021102,1994,1210
021102,1995,1214
021103,1990,2544
021103,1991,2548
021103,1992,2551
021103,1993,2552
021103,1994,2554
021103,1995,2557
021104,1990,1116
021104,1991,1143
021104,1992,1170
021104,1993,1196
021104,1994,1221
021104,1995,1246
021105,1990,1487
021105,1991,1449
021105,1992,1407
021105,1993,1366
021105,1994,1329
021105,1995,1302
021201,1990,18926
021201,1991,19233
021201,1992,19596
021201,1993,19972
021201,1994,20314
021201,1995,20581
021202,1990,1777
021202,1991,1781
021202,1992,1785
021202,1993,1788
021202,1994,1793
021202,1995,1798
021203,1990,1690
021203,1991,1697
021203,1992,1699
021203,1993,1700
021203,1994,1705
021203,1995,1717
021204,1990,2970
021204,1991,3039
021204,1992,3104
021204,1993,3168
021204,1994,3232
021204,1995,3298
021205,1990,2339
021205,1991,2352
021205,1992,2360
021205,1993,2366
021205,1994,2376
021205,1995,2396
021206,1990,7766
021206,1991,7865
021206,1992,7946
021206,1993,8023
021206,1994,8112
021206,1995,8228
021207,1990,6572
021207,1991,6666
021207,1992,6746
021207,1993,6823
021207,1994,6908
021207,1995,7012
021208,1990,4301
021208,1991,4372
021208,1992,4434
021208,1993,4495
021208,1994,4560
021208,1995,4634
021209,1990,2451
021209,1991,2453
021209,1992,2455
021209,1993,2457
021209,1994,2459
021209,1995,2461
021210,1990,2022
021210,1991,2027
021210,1992,2032
021210,1993,2036
021210,1994,2041
021210,1995,2046
021301,1990,3721
021301,1991,3740
021301,1992,3758
021301,1993,3781
021301,1994,3805
021301,1995,3833
021302,1990,4216
021302,1991,4290
021302,1992,4357
021302,1993,4420
021302,1994,4487
021302,1995,4562
021303,1990,1409
021303,1991,1407
021303,1992,1406
021303,1993,1404
021303,1994,1403
021303,1995,1401
021304,1990,2600
021304,1991,2605
021304,1992,2609
021304,1993,2611
021304,1994,2616
021304,1995,2623
021305,1990,1763
021305,1991,1779
021305,1992,1790
021305,1993,1800
021305,1994,1811
021305,1995,1827
021306,1990,5266
