ubigeo,year,population
010508,2019,876
010508,2020,858
010508,2021,838
010508,2022,817
010508,2023,796
010509,2018,4147
010509,2019,4139
010509,2020,4118
010509,2021,4086
010509,2022,4047
010509,2023,4005.1111111111113
010510,2018,408
010510,2019,407
010510,2020,405
010510,2021,401
010510,2022,398
010510,2023,399.22222222222223
010511,2018,792
010511,2019,785
010511,2020,776
010511,2021,764
010511,2022,752
010511,2023,743.2222222222222
010512,2018,3919
010512,2019,3939
010512,2020,3950
010512,2021,3953
010512,2022,3957
010512,2023,3971.4444444444443
010513,2018,3744
010513,2019,3734
010513,2020,3712
010513,2021,3679
010513,2022,3641
010513,2023,3604.277777777778
010514,2018,5160
010514,2019,5125
010514,2020,5075
010514,2021,5012
010514,2022,4940
010514,2023,4863.111111111111
010515,2018,1406
010515,2019,1399
010515,2020,1389
010515,2021,1374
010515,2022,1356
010515,2023,1337.2222222222222
010516,2018,576
010516,2019,563
010516,2020,550
010516,2021,535
010516,2022,520
010516,2023,507.22222222222223
010517,2018,745
010517,2019,739
010517,2020,732
010517,2021,722
010517,2022,711
010517,2023,701.2222222222222
010518,2018,668
010518,2019,645
010518,2020,621
010518,2021,597
010518,2022,571
010518,2023,540.8333333333334
010519,2018,453
010519,2019,445
010519,2020,434
010519,2021,423
010519,2022,411
010519,2023,396.77777777777777
010520,2018,2078
010520,2019,2114
010520,2020,2145
010520,2021,2168
010520,2022,2189
010520,2023,2214.5
010521,2018,3176
010521,2019,3127
010521,2020,3070
010521,2021,3004
010521,2022,2935
010521,2023,2869.3888888888887
010522,2018,1355
010522,2019,1367
010522,2020,1375
010522,2021,1378
010522,2022,1381
010522,2023,1389.3333333333333
010523,2018,1437
010523,2019,1449
010523,2020,1457
010523,2021,1458
010523,2022,1459
010523,2023,1467.5555555555557
010601,2018,6278
010601,2019,6399
010601,2020,6499
010601,2021,6551
010601,2022,6594
010601,2023,6670.666666666667
010602,2018,2713
010602,2019,2799
010602,2020,2877
010602,2021,2914
010602,2022,2946
010602,2023,3012.8333333333335
010603,2018,628
010603,2019,633
010603,2020,636
010603,2021,638
010603,2022,639
010603,2023,638.9444444444445
010604,2018,2772
010604,2019,2722
010604,2020,2664
010604,2021,2590
010604,2022,2515
010604,2023,2455.277777777778
010605,2018,2491
010605,2019,2465
010605,2020,2431
010605,2021,2385
010605,2022,2338
010605,2023,2301.8333333333335
010606,2018,1704
010606,2019,1691
010606,2020,1673
010606,2021,1647
010606,2022,1621
010606,2023,1603.611111111111
010607,2018,1568
010607,2019,1566
010607,2020,1559
010607,2021,1539
010607,2022,1519
010607,2023,1513.1666666666667
010608,2018,458
010608,2019,439
010608,2020,419
010608,2021,411
010608,2022,405
010608,2023,389.72222222222223
010609,2018,9603
010609,2019,9830
010609,2020,10028
010609,2021,10127
010609,2022,10206
010609,2023,10352.277777777777
010610,2018,538
010610,2019,534
010610,2020,529
010610,2021,527
010610,2022,526
010610,2023,523.6666666666666
010611,2018,293
010611,2019,290
010611,2020,288
010611,2021,289
010611,2022,286
010611,2023,271.5
010612,2018,3467
010612,2019,3754
010612,2020,4048
010612,2021,4277
010612,2022,4504
010612,2023,4799.5
010701,2018,56257
010701,2019,57076
010701,2020,57746
010701,2021,58380
010701,2022,58947
010701,2023,59408
010702,2018,24996
010702,2019,24794
010702,2020,24525
010702,2021,24236
010702,2022,23916
010702,2023,23550.777777777777
010703,2018,8852
010703,2019,8819
010703,2020,8760
010703,2021,8695
010703,2022,8620
010703,2023,8529.666666666666
010704,2018,6422
010704,2019,6471
010704,2020,6503
010704,2021,6531
010704,2022,6551
010704,2023,6558.055555555556
010705,2018,7303
010705,2019,7269
010705,2020,7215
010705,2021,7156
010705,2022,7087
010705,2023,7001.888888888889
010706,2018,11034
010706,2019,11182
010706,2020,11300
010706,2021,11412
010706,2022,11509
010706,2023,11580.166666666666
010707,2018,3230
010707,2019,3242
010707,2020,3245
010707,2021,3247
010707,2022,3249
010707,2023,3251.6111111111113
020101,2018,66195
020101,2019,67418
020101,2020,68466
020101,2021,69249
020101,2022,69882
020101,2023,70491.38888888889
020102,2018,1745
020102,2019,1723
020102,2020,1698
020102,2021,1682
020102,2022,1669
020102,2023,1652
020103,2018,314
020103,2019,293
020103,2020,274
020103,2021,262
020103,2022,252
020103,2023,238.44444444444446
020104,2018,1726
020104,2019,1689
020104,2020,1652
020104,2021,1627
020104,2022,1608
020104,2023,1588
020105,2018,82563
020105,2019,84931
020105,2020,87112
020105,2021,88989
020105,2022,90711
020105,2023,92441.77777777778
020106,2018,5056
020106,2019,5138
020106,2020,5206
020106,2021,5254
020106,2022,5292
020106,2023,5330.888888888889
020107,2018,1132
020107,2019,1122
020107,2020,1110
020107,2021,1102
020107,2022,1095
020107,2023,1085.5
020108,2018,2513
020108,2019,2514
020108,2020,2507
020108,2021,2503
020108,2022,2498
020108,2023,2487.1666666666665
020109,2018,1040
020109,2019,1020
020109,2020,998
020109,2021,984
020109,2022,973
020109,2023,959.1666666666666
020110,2018,5078
020110,2019,5163
020110,2020,5235
020110,2021,5287
020110,2022,5328
020110,2023,5367.888888888889
020111,2018,3536
020111,2019,3518
020111,2020,3489
020111,2021,3472
020111,2022,3456
020111,2023,3428.1111111111113
020112,2018,7129
020112,2019,7337
020112,2020,7529
020112,2021,7695
020112,2022,7848
020112,2023,8002.277777777777
020201,2018,2158
020201,2019,2175
020201,2020,2182
020201,2021,2186
020201,2022,2184
020201,2023,2172.4444444444443
020202,2018,1713
020202,2019,1683
020202,2020,1649
020202,2021,1594
020202,2022,1538
020202,2023,1503.0555555555557
020203,2018,383
020203,2019,371
020203,2020,358
020203,2021,342
020203,2022,327
020203,2023,317.3333333333333
020204,2018,1627
020204,2019,1573
020204,2020,1517
020204,2021,1468
020204,2022,1418
020204,2023,1358.0555555555557
020205,2018,751
020205,2019,739
020205,2020,727
020205,2021,715
020205,2022,703
020205,2023,691
020301,2018,3468
020301,2019,3446
020301,2020,3413
020301,2021,3373
020301,2022,3325
020301,2023,3267.722222222222
020302,2018,2013
020302,2019,1988
020302,2020,1958
020302,2021,1914
020302,2022,1863
020302,2023,1812.888888888889
020303,2018,1421
020303,2019,1385
020303,2020,1346
020303,2021,1314
020303,2022,1283
020303,2023,1246.111111111111
020304,2018,1960
020304,2019,1956
020304,2020,1946
020304,2021,1898
020304,2022,1843
020304,2023,1815.5
020305,2018,4279
020305,2019,4212
020305,2020,4135
020305,2021,4063
020305,2022,3986
020305,2023,3892.6111111111113
020306,2018,1208
020306,2019,1181
020306,2020,1152
020306,2021,1128
020306,2022,1104
020306,2023,1074.3333333333333
020401,2018,4852
020401,2019,4825
020401,2020,4787
020401,2021,4731
020401,2022,4665
020401,2023,4597.833333333333
020402,2018,3027
020402,2019,2980
020402,2020,2923
020402,2021,2860
020402,2022,2792
020402,2023,2719.8333333333335
020501,2018,4092
020501,2019,4095
020501,2020,4087
020501,2021,4047
020501,2022,3990
020501,2023,3933
020502,2018,249
020502,2019,231
020502,2020,215
020502,2021,210
020502,2022,203
020502,2023,179.77777777777777
020503,2018,1046
020503,2019,1034
020503,2020,1020
020503,2021,990
020503,2022,958
020503,2023,939.5555555555555
020504,2018,2188
020504,2019,2136
020504,2020,2079
020504,2021,2000
020504,2022,1925
020504,2023,1882.388888888889
020505,2018,1838
020505,2019,1856
020505,2020,1868
020505,2021,1888
020505,2022,1899
020505,2023,1882.2777777777778
020506,2018,318
020506,2019,298
020506,2020,279
020506,2021,261
020506,2022,246
020506,2023,236.11111111111111
020507,2018,2452
020507,2019,2404
020507,2020,2348
020507,2021,2265
020507,2022,2183
020507,2023,2132.6111111111113
020508,2018,6727
020508,2019,6610
020508,2020,6473
020508,2021,6401
020508,2022,6304
020508,2023,6082.277777777777
020509,2018,1474
020509,2019,1408
020509,2020,1341
020509,2021,1271
020509,2022,1210
020509,2023,1170.7777777777778
020510,2018,1352
020510,2019,1361
020510,2020,1365
020510,2021,1336
020510,2022,1298
020510,2023,1277.888888888889
020511,2018,473
020511,2019,458
020511,2020,444
020511,2021,421
020511,2022,399
020511,2023,389.1111111111111
020512,2018,524
020512,2019,520
020512,2020,515
020512,2021,501
020512,2022,486
020512,2023,478.8888888888889
020513,2018,955
020513,2019,915
020513,2020,874
020513,2021,830
020513,2022,792
020513,2023,769.6111111111111
020514,2018,511
020514,2019,492
020514,2020,471
020514,2021,449
020514,2022,429
020514,2023,414.1111111111111
020515,2018,678
020515,2019,656
020515,2020,633
020515,2021,605
020515,2022,580
020515,2023,566.6666666666666
020601,2018,16139
020601,2019,16428
020601,2020,16675
020601,2021,16804
020601,2022,16917
020601,2023,17125.88888888889
020602,2018,2734
020602,2019,2768
020602,2020,2794
020602,2021,2812
020602,2022,2820
020602,2023,2815.8888888888887
020603,2018,1535
020603,2019,1529
020603,2020,1520
020603,2021,1507
020603,2022,1491
020603,2023,1473.111111111111
020604,2018,2553
020604,2019,2579
020604,2020,2598
020604,2021,2610
020604,2022,2613
020604,2023,2604.8888888888887
020605,2018,1593
020605,2019,1607
020605,2020,1617
020605,2021,1624
020605,2022,1628
020605,2023,1628.9444444444443
020606,2018,10378
020606,2019,10593
020606,2020,10782
020606,2021,10940
020606,2022,11067
020606,2023,11163.277777777777
020607,2018,1457
020607,2019,1458
020607,2020,1455
020607,2021,1455
020607,2022,1454
020607,2023,1447.388888888889
020608,2018,2502
020608,2019,2505
020608,2020,2502
020608,2021,2502
020608,2022,2498
020608,2023,2482.1111111111113
020609,2018,2962
020609,2019,2943
020609,2020,2915
020609,2021,2901
020609,2022,2886
020609,2023,2852.8888888888887
020610,2018,3687
020610,2019,3778
020610,2020,3861
020610,2021,3933
020610,2022,3995
020610,2023,4048.222222222222
020611,2018,3257
020611,2019,3278
020611,2020,3288
020611,2021,3298
020611,2022,3300
020611,2023,3284.9444444444443
020701,2018,11202
020701,2019,11158
020701,2020,11083
020701,2021,10975
020701,2022,10842
020701,2023,10692.555555555555
