ubigeo,year,population,level
000000,2001,26346840,country
000000,2002,26748972,country
000000,2003,27148101,country
000000,2004,27546574,country
000000,2005,27946774,country
010000,2001,420606,region
010000,2002,428095,region
010000,2003,435556,region
010000,2004,443025,region
010000,2005,450538,region
010100,2001,52796,province
010100,2002,53644,province
010100,2003,54513,province
010100,2004,55389,province
010100,2005,56257,province
010101,2001,20820,district
010101,2002,21142,district
010101,2003,21457,district
010101,2004,21775,district
010101,2005,22094,district
010102,2001,310,district
010102,2002,315,district
010102,2003,322,district
010102,2004,328,district
010102,2005,334,district
010103,2001,1276,district
010103,2002,1294,district
010103,2003,1312,district
010103,2004,1332,district
010103,2005,1350,district
010104,2001,698,district
010104,2002,710,district
010104,2003,723,district
010104,2004,737,district
010104,2005,750,district
010105,2001,1502,district
010105,2002,1535,district
010105,2003,1570,district
010105,2004,1605,district
010105,2005,1639,district
010106,2001,2510,district
010106,2002,2544,district
010106,2003,2580,district
010106,2004,2616,district
010106,2005,2652,district
010107,2001,715,district
010107,2002,718,district
010107,2003,721,district
010107,2004,722,district
010107,2005,725,district
010108,2001,575,district
010108,2002,579,district
010108,2003,583,district
010108,2004,586,district
010108,2005,589,district
010109,2001,6611,district
010109,2002,6796,district
010109,2003,6991,district
010109,2004,7191,district
010109,2005,7386,district
010110,2001,4276,district
010110,2002,4336,district
010110,2003,4401,district
010110,2004,4468,district
010110,2005,4532,district
010111,2001,1374,district
010111,2002,1402,district
010111,2003,1434,district
010111,2004,1465,district
010111,2005,1496,district
010112,2001,1261,district
010112,2002,1277,district
010112,2003,1294,district
010112,2004,1311,district
010112,2005,1327,district
010113,2001,1684,district
010113,2002,1694,district
010113,2003,1704,district
010113,2004,1713,district
010113,2005,1723,district
010114,2001,2705,district
010114,2002,2739,district
010114,2003,2774,district
010114,2004,2809,district
010114,2005,2844,district
010115,2001,1125,district
010115,2002,1142,district
010115,2003,1160,district
010115,2004,1178,district
010115,2005,1196,district
010116,2001,418,district
010116,2002,424,district
010116,2003,430,district
010116,2004,435,district
010116,2005,441,district
010117,2001,1409,district
010117,2002,1416,district
010117,2003,1422,district
010117,2004,1427,district
010117,2005,1433,district
010118,2001,392,district
010118,2002,395,district
010118,2003,397,district
010118,2004,400,district
010118,2005,402,district
010119,2001,850,district
010119,2002,861,district
010119,2003,872,district
010119,2004,884,district
010119,2005,895,district
010120,2001,1957,district
010120,2002,1986,district
010120,2003,2016,district
010120,2004,2045,district
010120,2005,2075,district
010121,2001,328,district
010121,2002,339,district
010121,2003,350,district
010121,2004,362,district
010121,2005,374,district
010200,2001,94794,province
010200,2002,96787,province
010200,2003,98721,province
010200,2004,100646,province
010200,2005,102608,province
010201,2001,38746,district
010201,2002,39356,district
010201,2003,39920,district
010201,2004,40472,district
010201,2005,41042,district
010202,2001,18655,district
010202,2002,19123,district
010202,2003,19582,district
010202,2004,20041,district
010202,2005,20508,district
010203,2001,8549,district
010203,2002,8802,district
010203,2003,9060,district
010203,2004,9321,district
010203,2005,9583,district
010204,2001,1273,district
010204,2002,1305,district
010204,2003,1340,district
010204,2004,1375,district
010204,2005,1410,district
010205,2001,27571,district
010205,2002,28201,district
010205,2003,28819,district
010205,2004,29437,district
010205,2005,30065,district
010300,2001,25624,province
010300,2002,26145,province
010300,2003,26665,province
010300,2004,27187,province
010300,2005,27711,province
010301,2001,1671,district
010301,2002,1747,district
010301,2003,1827,district
010301,2004,1911,district
