year,ubigeo,population,level
2005,030204,7733,district
2005,030205,4794,district
2005,030206,1048,district
2005,030207,8544,district
2005,030208,5565,district
2005,030209,10872,district
2005,030210,2658,district
2005,030211,1045,district
2005,030212,3522,district
2005,030213,20591,district
2005,030214,1992,district
2005,030215,10315,district
2005,030216,17969,district
2005,030217,2303,district
2005,030218,4471,district
2005,030219,2513,district
2005,030300,13313,province
2005,030301,3530,district
2005,030302,569,district
2005,030303,1595,district
2005,030304,2168,district
2005,030305,2630,district
2005,030306,1263,district
2005,030307,1558,district
2005,030400,31883,province
2005,030401,4925,district
2005,030402,745,district
2005,030403,1385,district
2005,030404,2485,district
2005,030405,830,district
2005,030406,4169,district
2005,030407,682,district
2005,030408,1078,district
2005,030409,2269,district
2005,030410,1281,district
2005,030411,1027,district
2005,030412,1401,district
2005,030413,837,district
2005,030414,2329,district
2005,030415,3334,district
2005,030416,1796,district
2005,030417,1310,district
2005,030500,48854,province
2005,030501,10941,district
2005,030502,4607,district
2005,030503,8018,district
2005,030504,11190,district
2005,030505,6658,district
2005,030506,7440,district
2005,030600,55255,province
2005,030601,6024,district
2005,030602,11642,district
2005,030603,2384,district
2005,030604,9904,district
2005,030605,8658,district
2005,030606,8478,district
2005,030607,3203,district
2005,030608,4962,district
2005,030700,27430,province
2005,030701,6103,district
2005,030702,2588,district
2005,030703,4404,district
2005,030704,2083,district
2005,030705,1030,district
2005,030706,1278,district
2005,030707,1110,district
2005,030708,2853,district
2005,030709,401,district
2005,030710,789,district
2005,030711,869,district
2005,030712,1293,district
2005,030713,1025,district
2005,030714,1604,district
2005,040000,1155267,region
2005,040100,864655,province
2005,040101,65927,district
2005,040102,72251,district
2005,040103,72542,district
2005,040104,107334,district
2005,040105,6305,district
2005,040106,2701,district
2005,040107,46905,district
2005,040108,23371,district
2005,040109,53654,district
2005,040110,52969,district
2005,040111,1340,district
2005,040112,123284,district
2005,040113,641,district
2005,040114,1489,district
2005,040115,1213,district
2005,040116,3693,district
2005,040117,17514,district
2005,040118,1272,district
2005,040119,2248,district
2005,040120,1293,district
2005,040121,4300,district
2005,040122,56785,district
2005,040123,15124,district
2005,040124,10525,district
2005,040125,2901,district
2005,040126,22859,district
2005,040127,1081,district
2005,040128,14403,district
2005,040129,78731,district
2005,040200,53311,province
2005,040201,15318,district
2005,040202,3980,district
2005,040203,3954,district
2005,040204,5389,district
2005,040205,6202,district
2005,040206,4751,district
2005,040207,887,district
2005,040208,12830,district
2005,040300,35875,province
2005,040301,3912,district
2005,040302,4417,district
2005,040303,4291,district
2005,040304,781,district
2005,040305,3879,district
2005,040306,926,district
2005,040307,4889,district
2005,040308,3576,district
2005,040309,2391,district
2005,040310,1894,district
2005,040311,1176,district
2005,040312,1946,district
2005,040313,1797,district
2005,040400,39769,province
2005,040401,9143,district
2005,040402,1410,district
2005,040403,386,district
2005,040404,2089,district
2005,040405,773,district
2005,040406,1195,district
2005,040407,1536,district
2005,040408,1009,district
2005,040409,8204,district
2005,040410,3433,district
2005,040411,635,district
2005,040412,358,district
2005,040413,7418,district
2005,040414,2180,district
