year,ubigeo,population,level
2008,021604,2562,district
2008,021700,19705,province
2008,021701,5102,district
2008,021702,4161,district
2008,021703,637,district
2008,021704,1196,district
2008,021705,1494,district
2008,021706,1080,district
2008,021707,1704,district
2008,021708,1301,district
2008,021709,536,district
2008,021710,2494,district
2008,021800,412259,province
2008,021801,222475,district
2008,021802,5206,district
2008,021803,15377,district
2008,021804,3966,district
2008,021805,7814,district
2008,021806,14443,district
2008,021807,4385,district
2008,021808,18789,district
2008,021809,119804,district
2008,021900,31619,province
2008,021901,5745,district
2008,021902,2081,district
2008,021903,891,district
2008,021904,3136,district
2008,021905,1182,district
2008,021906,4286,district
2008,021907,2910,district
2008,021908,2843,district
2008,021909,6589,district
2008,021910,1956,district
2008,022000,56970,province
2008,022001,20827,district
2008,022002,2147,district
2008,022003,7378,district
2008,022004,1541,district
2008,022005,12599,district
2008,022006,2895,district
2008,022007,2392,district
2008,022008,7191,district
2008,030000,441507,region
2008,030100,104684,province
2008,030101,55766,district
2008,030102,1311,district
2008,030103,2700,district
2008,030104,18032,district
2008,030105,4904,district
2008,030106,5494,district
2008,030107,4476,district
2008,030108,3847,district
2008,030109,8154,district
2008,030200,157483,province
2008,030201,41228,district
2008,030202,6950,district
2008,030203,1450,district
2008,030204,7674,district
2008,030205,4762,district
2008,030206,1051,district
2008,030207,8792,district
2008,030208,5343,district
2008,030209,10643,district
2008,030210,2705,district
2008,030211,1048,district
2008,030212,3447,district
2008,030213,22604,district
2008,030214,2019,district
2008,030215,10232,district
2008,030216,18141,district
2008,030217,2340,district
2008,030218,4404,district
2008,030219,2650,district
2008,030300,13362,province
2008,030301,3428,district
2008,030302,564,district
2008,030303,1591,district
2008,030304,2143,district
2008,030305,2775,district
2008,030306,1272,district
2008,030307,1589,district
2008,030400,32267,province
2008,030401,4969,district
2008,030402,809,district
2008,030403,1416,district
2008,030404,2390,district
2008,030405,862,district
2008,030406,4505,district
2008,030407,697,district
2008,030408,1142,district
2008,030409,2243,district
2008,030410,1253,district
2008,030411,976,district
2008,030412,1416,district
2008,030413,834,district
2008,030414,2315,district
2008,030415,3312,district
2008,030416,1850,district
2008,030417,1278,district
2008,030500,50085,province
2008,030501,11160,district
2008,030502,4506,district
2008,030503,8193,district
2008,030504,11401,district
2008,030505,6687,district
2008,030506,8138,district
2008,030600,56361,province
2008,030601,6263,district
2008,030602,11912,district
2008,030603,2473,district
2008,030604,10048,district
2008,030605,8572,district
2008,030606,8686,district
2008,030607,3337,district
2008,030608,5070,district
2008,030700,27265,province
2008,030701,5915,district
2008,030702,2530,district
2008,030703,4289,district
2008,030704,1963,district
2008,030705,1018,district
2008,030706,1393,district
2008,030707,1114,district
2008,030708,2999,district
2008,030709,391,district
2008,030710,769,district
2008,030711,840,district
2008,030712,1329,district
2008,030713,1105,district
2008,030714,1610,district
2008,040000,1192932,region
2008,040100,894937,province
2008,040101,62362,district
2008,040102,75396,district
2008,040103,78107,district
2008,040104,118832,district
2008,040105,7104,district
2008,040106,2779,district
2008,040107,47475,district
2008,040108,25326,district
2008,040109,53525,district
2008,040110,51814,district
2008,040111,1485,district
2008,040112,123942,district
2008,040113,612,district
2008,040114,1488,district
2008,040115,1264,district
2008,040116,3832,district
2008,040117,18167,district
2008,040118,1350,district
2008,040119,2230,district
2008,040120,1286,district
2008,040121,4667,district
2008,040122,62713,district
2008,040123,15064,district
2008,040124,11099,district
2008,040125,2730,district
2008,040126,23691,district
2008,040127,1097,district
2008,040128,17128,district
2008,040129,78372,district
2008,040200,54951,province
2008,040201,15120,district
2008,040202,4038,district
2008,040203,4693,district
2008,040204,5686,district
2008,040205,6245,district
2008,040206,4768,district
2008,040207,814,district
2008,040208,13587,district
2008,040300,37319,province
2008,040301,3880,district
2008,040302,4048,district
2008,040303,4280,district
2008,040304,822,district
2008,040305,4600,district
2008,040306,922,district
2008,040307,5444,district
2008,040308,4079,district
2008,040309,2646,district
2008,040310,1687,district
2008,040311,1230,district
2008,040312,1938,district
2008,040313,1743,district
2008,040400,39444,province
2008,040401,9077,district
2008,040402,1331,district
2008,040403,389,district
2008,040404,1976,district
2008,040405,894,district
2008,040406,1139,district
2008,040407,1471,district
2008,040408,916,district
2008,040409,8651,district
2008,040410,3208,district
2008,040411,599,district
2008,040412,382,district
2008,040413,7378,district
2008,040414,2033,district
2008,040500,77293,province
2008,040501,6795,district
2008,040502,1145,district
2008,040503,2871,district
2008,040504,2524,district
2008,040505,4060,district
2008,040506,1492,district
2008,040507,887,district
2008,040508,1849,district
2008,040509,767,district
2008,040510,1498,district
2008,040511,1441,district
2008,040512,919,district
2008,040513,700,district
2008,040514,1464,district
2008,040515,808,district
2008,040516,676,district
2008,040517,1827,district
2008,040518,897,district
2008,040519,2362,district
2008,040520,42311,district
2008,040600,19393,province
2008,040601,3685,district
2008,040602,734,district
2008,040603,3740,district
2008,040604,838,district
2008,040605,720,district
2008,040606,3456,district
2008,040607,1068,district
2008,040608,5152,district
2008,040700,53637,province
2008,040701,24503,district
2008,040702,9556,district
2008,040703,6507,district
2008,040704,5135,district
2008,040705,1153,district
2008,040706,6783,district
2008,040800,15958,province
2008,040801,3100,district
2008,040802,2209,district
2008,040803,654,district
2008,040804,2506,district
2008,040805,1450,district
2008,040806,2952,district
2008,040807,281,district
2008,040808,537,district
2008,040809,350,district
2008,040810,908,district
2008,040811,1011,district
2008,050000,635167,region
2008,050100,241451,province
2008,050101,102092,district
2008,050102,9079,district
2008,050103,5183,district
2008,050104,16814,district
2008,050105,6393,district
2008,050106,5621,district
2008,050107,2880,district
2008,050108,6165,district
2008,050109,2538,district
2008,050110,39489,district
2008,050111,1496,district
2008,050112,7018,district
2008,050113,5136,district
2008,050114,15896,district
2008,050115,15651,district
2008,050200,34850,province
2008,050201,6778,district
2008,050202,8265,district
2008,050203,8031,district
2008,050204,2810,district
2008,050205,4985,district
2008,050206,3981,district
2008,050300,10612,province
2008,050301,3550,district
2008,050302,2602,district
2008,050303,1786,district
2008,050304,2674,district
2008,050400,94824,province
2008,050401,40878,district
2008,050402,9309,district
2008,050403,5190,district
2008,050404,2741,district
2008,050405,5090,district
2008,050406,7222,district
2008,050407,12044,district
2008,050408,12350,district
2008,050500,84799,province
2008,050501,18679,district
2008,050502,15540,district
2008,050503,10266,district
2008,050504,2660,district
2008,050505,6410,district
2008,050506,2071,district
2008,050507,11246,district
2008,050508,17927,district
2008,050600,65813,province
2008,050601,13897,district
2008,050602,4496,district
2008,050603,3359,district
2008,050604,3486,district
2008,050605,2332,district
2008,050606,3956,district
2008,050607,2721,district
2008,050608,1862,district
2008,050609,1580,district
2008,050610,1356,district
2008,050611,3819,district
2008,050612,3404,district
2008,050613,3031,district
2008,050614,883,district
2008,050615,1963,district
2008,050616,1263,district
2008,050617,3297,district
2008,050618,1541,district
2008,050619,5715,district
2008,050620,740,district
2008,050621,1112,district
2008,050700,30351,province
2008,050701,14869,district
2008,050702,2959,district
2008,050703,1343,district
2008,050704,1700,district
2008,050705,4505,district
2008,050706,2340,district
2008,050707,682,district
2008,050708,1953,district
2008,050800,11035,province
2008,050801,3032,district
2008,050802,828,district
2008,050803,556,district
2008,050804,2484,district
2008,050805,786,district
2008,050806,1171,district
2008,050807,680,district
2008,050808,517,district
2008,050809,186,district
2008,050810,795,district
2008,050900,12564,province
2008,050901,2712,district
2008,050902,651,district
2008,050903,715,district
2008,050904,661,district
2008,050905,646,district
2008,050906,1505,district
2008,050907,946,district
2008,050908,976,district
2008,050909,1607,district
2008,050910,901,district
2008,050911,1244,district
2008,051000,25264,province
2008,051001,2358,district
2008,051002,2545,district
2008,051003,1273,district
2008,051004,485,district
2008,051005,4036,district
2008,051006,1320,district
2008,051007,1203,district
2008,051008,1274,district
2008,051009,1713,district
2008,051010,3196,district
2008,051011,2971,district
2008,051012,2890,district
2008,051100,23604,province
2008,051101,8324,district
2008,051102,1322,district
2008,051103,1138,district
2008,051104,2910,district
2008,051105,2211,district
2008,051106,1798,district
2008,051107,1450,district
2008,051108,4451,district
2008,060000,1485188,region
2008,060100,341705,province
2008,060101,204858,district
2008,060102,12621,district
2008,060103,4275,district
2008,060104,8346,district
2008,060105,24593,district
2008,060106,15159,district
2008,060107,5246,district
2008,060108,37572,district
2008,060109,9801,district
2008,060110,3963,district
2008,060111,10151,district
2008,060112,5120,district
2008,060200,79364,province
2008,060201,30018,district
2008,060202,26017,district
2008,060203,14062,district
2008,060204,9267,district
2008,060300,94557,province
2008,060301,26430,district
2008,060302,3322,district
2008,060303,8661,district
2008,060304,14124,district
2008,060305,656,district
2008,060306,3002,district
2008,060307,5222,district
2008,060308,6865,district
2008,060309,10432,district
2008,060310,6238,district
2008,060311,1394,district
2008,060312,8211,district
2008,060400,170617,province
2008,060401,48991,district
2008,060402,4509,district
2008,060403,4351,district
2008,060404,4962,district
2008,060405,3614,district
2008,060406,3449,district
2008,060407,7059,district
2008,060408,6902,district
2008,060409,10078,district
2008,060410,13491,district
2008,060411,8594,district
2008,060412,3974,district
2008,060413,5495,district
2008,060414,1721,district
2008,060415,9771,district
2008,060416,1157,district
2008,060417,20194,district
2008,060418,1059,district
2008,060419,11246,district
2008,060500,33338,province
2008,060501,9226,district
2008,060502,3315,district
2008,060503,1654,district
2008,060504,3143,district
2008,060505,3801,district
2008,060506,1205,district
2008,060507,2769,district
2008,060508,8225,district
2008,060600,146885,province
2008,060601,56598,district
2008,060602,11102,district
2008,060603,3789,district
2008,060604,3106,district
2008,060605,5006,district
2008,060606,6540,district
2008,060607,17604,district
2008,060608,5643,district
2008,060609,2275,district
2008,060610,4201,district
2008,060611,3398,district
2008,060612,5834,district
2008,060613,8789,district
2008,060614,11435,district
2008,060615,1565,district
2008,060700,96401,province
2008,060701,74731,district
2008,060702,3775,district
2008,060703,17895,district
2008,060800,196281,province
2008,060801,92593,district
2008,060802,16511,district
2008,060803,10750,district
2008,060804,12052,district
2008,060805,8142,district
2008,060806,4582,district
2008,060807,9420,district
2008,060808,7596,district
2008,060809,8355,district
2008,060810,6064,district
2008,060811,7388,district
2008,060812,12828,district
2008,060900,140842,province
2008,060901,34753,district
2008,060902,14434,district
2008,060903,21806,district
2008,060904,20109,district
2008,060905,10955,district
2008,060906,19615,district
2008,060907,19170,district
2008,061000,54466,province
2008,061001,20496,district
2008,061002,3502,district
2008,061003,2434,district
2008,061004,7418,district
2008,061005,2234,district
2008,061006,4408,district
2008,061007,13974,district
2008,061100,59532,province
2008,061101,16619,district
2008,061102,1756,district
2008,061103,4698,district
2008,061104,3587,district
2008,061105,2012,district
2008,061106,2654,district
2008,061107,5852,district
2008,061108,1503,district
2008,061109,4686,district
2008,061110,2636,district
2008,061111,4910,district
2008,061112,4698,district
2008,061113,3921,district
2008,061200,24538,province
2008,061201,14181,district
2008,061202,5009,district
2008,061203,1479,district
2008,061204,3869,district
2008,061300,46662,province
2008,061301,10996,district
2008,061302,1837,district
2008,061303,10191,district
2008,061304,4163,district
2008,061305,3038,district
2008,061306,3184,district
2008,061307,5143,district
2008,061308,2140,district
2008,061309,551,district
2008,061310,1762,district
2008,061311,3657,district
2008,070000,912065,region
2008,070100,912065,province
2008,070101,426944,district
2008,070102,76907,district
2008,070103,42961,district
2008,070104,63118,district
2008,070105,4381,district
2008,070106,297754,district
2008,080000,1256770,region
2008,080100,397526,province
2008,080101,116471,district
2008,080102,2479,district
2008,080103,4989,district
2008,080104,34899,district
2008,080105,82607,district
2008,080106,89550,district
2008,080107,3294,district
2008,080108,63237,district
2008,080200,29075,province
2008,080201,5730,district
2008,080202,2697,district
2008,080203,2714,district
2008,080204,2016,district
2008,080205,8892,district
2008,080206,3043,district
2008,080207,3983,district
2008,080300,58365,province
2008,080301,17380,district
2008,080302,7220,district
2008,080303,2186,district
2008,080304,4977,district
2008,080305,6079,district
2008,080306,9713,district
2008,080307,3053,district
2008,080308,3828,district
2008,080309,3929,district
2008,080400,70249,province
2008,080401,20868,district
2008,080402,3955,district
2008,080403,5726,district
2008,080404,7588,district
2008,080405,10093,district
2008,080406,5577,district
2008,080407,4582,district
2008,080408,11860,district
2008,080500,40756,province
2008,080501,10326,district
2008,080502,6384,district
2008,080503,5856,district
2008,080504,2773,district
2008,080505,6614,district
2008,080506,2169,district
2008,080507,3493,district
2008,080508,3141,district
2008,080600,103371,province
2008,080601,59089,district
2008,080602,5196,district
2008,080603,5502,district
2008,080604,11768,district
2008,080605,7543,district
2008,080606,5256,district
2008,080607,3140,district
2008,080608,5877,district
2008,080700,80896,province
2008,080701,26203,district
2008,080702,4880,district
2008,080703,8279,district
2008,080704,9189,district
2008,080705,12396,district
2008,080706,6856,district
2008,080707,4636,district
2008,080708,8457,district
2008,080800,67167,province
2008,080801,31749,district
2008,080802,1301,district
2008,080803,16997,district
2008,080804,1766,district
2008,080805,5622,district
2008,080806,4021,district
2008,080807,2968,district
2008,080808,2743,district
2008,080900,178506,province
2008,080901,35408,district
2008,080902,45612,district
2008,080903,6027,district
2008,080904,7124,district
2008,080905,6725,district
2008,080906,16259,district
2008,080907,17512,district
2008,080908,7390,district
2008,080909,19252,district
2008,080910,17197,district
2008,081000,32821,province
2008,081001,3714,district
2008,081002,4089,district
2008,081003,4082,district
2008,081004,1398,district
2008,081005,5912,district
2008,081006,6925,district
2008,081007,2547,district
2008,081008,1398,district
2008,081009,2756,district
2008,081100,49189,province
2008,081101,12905,district
2008,081102,2694,district
2008,081103,10717,district
2008,081104,10303,district
2008,081105,7403,district
2008,081106,5167,district
2008,081200,87939,province
2008,081201,10628,district
2008,081202,5297,district
2008,081203,2212,district
2008,081204,3087,district
2008,081205,15553,district
2008,081206,5051,district
2008,081207,4650,district
2008,081208,4103,district
2008,081209,4802,district
2008,081210,14611,district
2008,081211,6906,district
2008,081212,11039,district
2008,081300,60910,province
2008,081301,19173,district
2008,081302,10040,district
2008,081303,5316,district
2008,081304,5863,district
2008,081305,6606,district
2008,081306,10599,district
2008,081307,3313,district
2008,090000,467700,region
2008,090100,147060,province
2008,090101,38309,district
2008,090102,4139,district
2008,090103,32392,district
2008,090104,1341,district
2008,090105,2247,district
2008,090106,3084,district
2008,090107,910,district
2008,090108,990,district
2008,090109,1472,district
2008,090110,1806,district
2008,090111,797,district
2008,090112,2337,district
2008,090113,2602,district
2008,090114,3517,district
2008,090115,627,district
2008,090116,3239,district
2008,090117,29153,district
2008,090118,10147,district
2008,090119,7951,district
2008,090200,66356,province
2008,090201,10085,district
2008,090202,4971,district
2008,090203,8530,district
2008,090204,3019,district
2008,090205,2446,district
2008,090206,25793,district
2008,090207,4334,district
2008,090208,7178,district
2008,090300,57511,province
2008,090301,25200,district
2008,090302,7710,district
2008,090303,907,district
2008,090304,3447,district
2008,090305,1477,district
2008,090306,4460,district
2008,090307,1711,district
2008,090308,2070,district
2008,090309,1703,district
2008,090310,3401,district
2008,090311,1933,district
2008,090312,3492,district
2008,090400,19882,province
2008,090401,3464,district
2008,090402,1529,district
2008,090403,2194,district
2008,090404,1458,district
2008,090405,1159,district
2008,090406,964,district
2008,090407,1802,district
2008,090408,451,district
2008,090409,1592,district
2008,090410,618,district
2008,090411,2044,district
2008,090412,791,district
2008,090413,1816,district
2008,090500,45807,province
2008,090501,6042,district
2008,090502,11125,district
2008,090503,4510,district
2008,090504,3160,district
2008,090505,1225,district
2008,090506,4497,district
2008,090507,6843,district
2008,090508,1179,district
2008,090509,4185,district
2008,090510,3041,district
2008,090600,23744,province
2008,090601,2285,district
2008,090602,814,district
2008,090603,2210,district
2008,090604,477,district
2008,090605,1045,district
2008,090606,1991,district
2008,090607,3799,district
2008,090608,873,district
2008,090609,890,district
2008,090610,1696,district
2008,090611,814,district
2008,090612,1145,district
2008,090613,3389,district
2008,090614,710,district
2008,090615,1096,district
2008,090616,510,district
2008,090700,107340,province
2008,090701,11142,district
2008,090702,4597,district
2008,090703,5296,district
2008,090704,5351,district
2008,090705,20614,district
2008,090706,10008,district
2008,090707,5193,district
2008,090709,7814,district
2008,090710,2196,district
2008,090711,7647,district
2008,090713,958,district
2008,090714,5184,district
2008,090715,3857,district
2008,090716,3241,district
2008,090717,5203,district
2008,090718,9039,district
2008,100000,811989,region
2008,100100,288312,province
2008,100101,79046,district
2008,100102,71627,district
2008,100103,26292,district
2008,100104,26375,district
2008,100105,15613,district
2008,100106,7609,district
2008,100107,5041,district
2008,100108,7366,district
2008,100109,19385,district
2008,100110,2853,district
2008,100111,27105,district
2008,100200,58634,province
2008,100201,16685,district
2008,100202,3887,district
2008,100203,2834,district
2008,100204,6258,district
2008,100205,8489,district
2008,100206,3467,district
2008,100207,12323,district
2008,100208,4691,district
2008,100300,50097,province
2008,100301,6464,district
2008,100307,5470,district
2008,100311,8233,district
2008,100313,11894,district
2008,100316,2276,district
2008,100317,6738,district
2008,100321,2684,district
2008,100322,3020,district
2008,100323,3318,district
2008,100400,21724,province
2008,100401,7147,district
2008,100402,3225,district
2008,100403,2961,district
2008,100404,8391,district
2008,100500,70837,province
2008,100501,15708,district
2008,100502,1838,district
2008,100503,4487,district
2008,100504,6699,district
2008,100505,3166,district
2008,100506,3680,district
2008,100507,20554,district
2008,100508,2501,district
2008,100509,4956,district
2008,100510,4183,district
2008,100511,3065,district
2008,100600,124760,province
2008,100601,60087,district
2008,100602,7060,district
2008,100603,4027,district
2008,100604,34549,district
2008,100605,9177,district
2008,100606,9860,district
2008,100700,28533,province
2008,100701,16016,district
2008,100702,9870,district
2008,100703,2647,district
2008,100800,64606,province
2008,100801,21270,district
2008,100802,11718,district
2008,100803,13111,district
2008,100804,18507,district
2008,100900,32757,province
2008,100901,9022,district
2008,100902,6448,district
2008,100903,5998,district
2008,100904,5281,district
2008,100905,6008,district
2008,101000,37533,province
2008,101001,6532,district
2008,101002,5847,district
2008,101003,2652,district
2008,101004,1872,district
2008,101005,7834,district
2008,101006,2533,district
2008,101007,10263,district
2008,101100,34196,province
2008,101101,7006,district
2008,101102,3663,district
2008,101103,3230,district
2008,101104,6041,district
2008,101105,2017,district
2008,101106,6247,district
2008,101107,2346,district
2008,101108,3646,district
2008,110000,730767,region
2008,110100,330428,province
2008,110101,127846,district
2008,110102,31848,district
2008,110103,16836,district
2008,110104,3714,district
2008,110105,6168,district
2008,110106,51614,district
2008,110107,4749,district
2008,110108,18742,district
2008,110109,6188,district
2008,110110,12836,district
2008,110111,24529,district
2008,110112,20020,district
2008,110113,4214,district
2008,110114,1124,district
2008,110200,199691,province
2008,110201,60956,district
2008,110202,6428,district
2008,110203,1157,district
2008,110204,12420,district
2008,110205,12065,district
2008,110206,21269,district
2008,110207,53806,district
2008,110208,463,district
2008,110209,1610,district
2008,110210,24687,district
2008,110211,4830,district
2008,110300,58654,province
2008,110301,26578,district
2008,110302,1944,district
2008,110303,2963,district
2008,110304,13066,district
2008,110305,14103,district
2008,110400,13045,province
2008,110401,7371,district
2008,110402,1476,district
2008,110403,2713,district
2008,110404,1072,district
2008,110405,413,district
2008,110500,128949,province
2008,110501,55900,district
2008,110502,1773,district
2008,110503,5574,district
2008,110504,12789,district
2008,110505,4332,district
2008,110506,13502,district
2008,110507,19887,district
2008,110508,15192,district
2008,120000,1283003,region
2008,120100,487435,province
2008,120101,116784,district
2008,120104,910,district
2008,120105,1223,district
2008,120106,1288,district
2008,120107,81105,district
2008,120108,1720,district
2008,120111,2067,district
2008,120112,2112,district
2008,120113,2650,district
2008,120114,153583,district
2008,120116,1455,district
2008,120117,4104,district
2008,120119,16069,district
2008,120120,1017,district
2008,120121,8523,district
2008,120122,2739,district
2008,120124,7220,district
2008,120125,14074,district
2008,120126,5814,district
2008,120127,1985,district
2008,120128,4184,district
2008,120129,10780,district
2008,120130,10073,district
2008,120132,3991,district
2008,120133,13561,district
2008,120134,7862,district
2008,120135,8341,district
2008,120136,2201,district
2008,120200,62081,province
2008,120201,14721,district
2008,120202,1995,district
2008,120203,5641,district
2008,120204,3089,district
2008,120205,2273,district
2008,120206,7891,district
2008,120207,1456,district
2008,120208,1585,district
2008,120209,1612,district
2008,120210,5354,district
2008,120211,1522,district
2008,120212,1816,district
2008,120213,4264,district
2008,120214,6661,district
2008,120215,2201,district
2008,120300,178610,province
2008,120301,27210,district
2008,120302,60082,district
2008,120303,54051,district
2008,120304,7286,district
2008,120305,27211,district
2008,120306,2770,district
2008,120400,94776,province
2008,120401,16985,district
2008,120402,8620,district
2008,120403,5071,district
2008,120404,1307,district
2008,120405,1832,district
2008,120406,1814,district
2008,120407,2705,district
2008,120408,2029,district
2008,120409,1071,district
2008,120410,1918,district
2008,120411,920,district
2008,120412,865,district
2008,120413,1699,district
2008,120414,1365,district
2008,120415,2080,district
2008,120416,2301,district
2008,120417,934,district
2008,120418,1860,district
2008,120419,1382,district
2008,120420,1089,district
2008,120421,2474,district
2008,120422,1276,district
2008,120423,2177,district
2008,120424,1442,district
2008,120425,1531,district
2008,120426,2207,district
2008,120427,2014,district
2008,120428,2368,district
2008,120429,999,district
2008,120430,2932,district
2008,120431,4671,district
2008,120432,1438,district
2008,120433,1675,district
2008,120434,9725,district
2008,120500,30871,province
2008,120501,12324,district
2008,120502,8651,district
2008,120503,2607,district
2008,120504,7289,district
2008,120600,208073,province
2008,120601,38294,district
2008,120602,5556,district
2008,120603,5444,district
2008,120604,41588,district
2008,120605,8053,district
2008,120606,46085,district
2008,120607,27282,district
2008,120608,35771,district
2008,120700,116148,province
2008,120701,51672,district
2008,120702,13923,district
2008,120703,3182,district
2008,120704,15971,district
2008,120705,3926,district
2008,120706,6594,district
2008,120707,8709,district
2008,120708,6015,district
2008,120709,6156,district
2008,120800,51034,province
2008,120801,18801,district
2008,120802,935,district
2008,120803,1727,district
2008,120804,1331,district
2008,120805,5521,district
2008,120806,1936,district
2008,120807,2044,district
2008,120808,11661,district
2008,120809,952,district
2008,120810,6126,district
2008,120900,53975,province
2008,120901,21799,district
2008,120902,6742,district
2008,120903,4541,district
2008,120904,3898,district
2008,120905,5290,district
2008,120906,2402,district
2008,120907,3795,district
2008,120908,2071,district
2008,120909,3437,district
2008,130000,1703617,region
2008,130100,857484,province
2008,130101,309129,district
2008,130102,150036,district
2008,130103,41831,district
2008,130104,48452,district
2008,130105,160697,district
2008,130106,34399,district
2008,130107,31363,district
2008,130108,3711,district
2008,130109,14812,district
2008,130110,4275,district
2008,130111,58779,district
2008,130200,121348,province
2008,130201,7265,district
2008,130202,15713,district
2008,130203,10483,district
2008,130204,3034,district
2008,130205,24356,district
2008,130206,8741,district
2008,130207,20533,district
2008,130208,31223,district
2008,130300,17326,province
2008,130301,4956,district
2008,130302,3712,district
2008,130303,2298,district
2008,130304,2393,district
2008,130305,2995,district
2008,130306,972,district
2008,130400,80044,province
2008,130401,47776,district
2008,130402,19186,district
2008,130403,13082,district
2008,130500,34149,province
2008,130501,13413,district
2008,130502,6633,district
2008,130503,7339,district
2008,130504,6764,district
2008,130600,92711,province
2008,130601,26472,district
2008,130602,10208,district
2008,130604,3197,district
2008,130605,5297,district
2008,130606,735,district
2008,130608,3319,district
2008,130610,723,district
2008,130611,6674,district
2008,130613,8642,district
2008,130614,27444,district
2008,130700,99075,province
2008,130701,16843,district
2008,130702,39344,district
2008,130703,3630,district
2008,130704,27301,district
2008,130705,11957,district
2008,130800,82466,province
2008,130801,14427,district
2008,130802,3988,district
2008,130803,12662,district
2008,130804,6618,district
2008,130805,2526,district
2008,130806,4338,district
2008,130807,1771,district
2008,130808,17588,district
2008,130809,7845,district
2008,130810,1567,district
2008,130811,2887,district
2008,130812,3126,district
2008,130813,3123,district
2008,130900,143337,province
2008,130901,55449,district
2008,130902,18073,district
2008,130903,9160,district
2008,130904,8545,district
2008,130905,15578,district
2008,130906,13676,district
2008,130907,9598,district
2008,130908,13258,district
2008,131000,60995,province
2008,131001,20722,district
2008,131002,6409,district
2008,131003,7051,district
2008,131004,2066,district
2008,131005,2852,district
2008,131006,14663,district
2008,131007,3357,district
2008,131008,3875,district
2008,131100,31721,province
2008,131101,14778,district
2008,131102,6114,district
2008,131103,2511,district
2008,131104,8318,district
2008,131200,82961,province
2008,131201,51194,district
2008,131202,25022,district
2008,131203,6745,district
2008,140000,1185684,region
2008,140100,806955,province
2008,140101,277741,district
2008,140102,18521,district
2008,140103,11237,district
2008,140104,2351,district
2008,140105,173163,district
2008,140106,83009,district
2008,140107,9935,district
2008,140108,31901,district
2008,140109,2542,district
2008,140110,10480,district
2008,140111,9499,district
2008,140112,35062,district
2008,140113,13488,district
2008,140114,11706,district
2008,140115,12685,district
2008,140116,17391,district
2008,140117,22143,district
2008,140118,24536,district
2008,140119,9743,district
2008,140120,29822,district
2008,140200,102238,province
2008,140201,34529,district
2008,140202,13885,district
2008,140203,15390,district
2008,140204,4401,district
2008,140205,20934,district
2008,140206,13099,district
2008,140300,276491,province
2008,140301,67997,district
2008,140302,1289,district
2008,140303,9618,district
2008,140304,16070,district
2008,140305,19112,district
2008,140306,41885,district
2008,140307,25519,district
2008,140308,38928,district
2008,140309,7196,district
2008,140310,13697,district
2008,140311,13066,district
2008,140312,22114,district
2008,150000,8855022,region
2008,150100,7977709,province
2008,150101,307339,district
2008,150102,35354,district
2008,150103,505506,district
2008,150104,34711,district
2008,150105,84213,district
2008,150106,227870,district
2008,150107,42789,district
2008,150108,300417,district
2008,150109,29092,district
2008,150110,507460,district
2008,150111,187583,district
2008,150112,215766,district
2008,150113,71064,district
2008,150114,140381,district
2008,150115,197446,district
2008,150116,56699,district
2008,150117,333896,district
2008,150118,179385,district
2008,150119,66935,district
2008,150120,54026,district
2008,150121,78186,district
2008,150122,87767,district
2008,150123,75026,district
2008,150124,11481,district
2008,150125,250960,district
2008,150126,6115,district
2008,150127,5672,district
2008,150128,181277,district
2008,150129,6169,district
2008,150130,111088,district
2008,150131,59735,district
2008,150132,942619,district
2008,150133,379015,district
2008,150134,56987,district
2008,150135,607795,district
2008,150136,134526,district
2008,150137,194774,district
2008,150138,842,district
2008,150139,11842,district
2008,150140,304466,district
2008,150141,93602,district
2008,150142,402075,district
2008,150143,397758,district
2008,150200,139588,province
2008,150201,64075,district
2008,150202,24684,district
2008,150203,17886,district
2008,150204,21397,district
2008,150205,11546,district
2008,150300,8593,province
2008,150301,2836,district
2008,150302,1010,district
2008,150303,2392,district
2008,150304,1248,district
2008,150305,1107,district
2008,150400,14117,province
2008,150401,3065,district
2008,150402,743,district
2008,150403,1343,district
2008,150404,939,district
2008,150405,1009,district
2008,150406,539,district
2008,150407,6479,district
2008,150500,210344,province
2008,150501,48802,district
2008,150502,7060,district
2008,150503,2337,district
2008,150504,7231,district
2008,150505,15170,district
2008,150506,1088,district
2008,150507,37885,district
2008,150508,4763,district
2008,150509,29389,district
2008,150510,20029,district
2008,150511,1754,district
2008,150512,14269,district
2008,150513,3812,district
2008,150514,12443,district
2008,150515,2657,district
2008,150516,1655,district
2008,150600,172535,province
2008,150601,92642,district
2008,150602,982,district
2008,150603,1401,district
2008,150604,17032,district
2008,150605,52657,district
2008,150606,2735,district
2008,150607,527,district
2008,150608,744,district
2008,150609,793,district
2008,150610,1277,district
2008,150611,1193,district
2008,150612,552,district
2008,150700,76111,province
2008,150701,4589,district
2008,150702,1412,district
2008,150703,2615,district
2008,150704,1251,district
2008,150705,7483,district
2008,150706,420,district
2008,150707,1712,district
2008,150708,1988,district
2008,150709,1617,district
2008,150710,851,district
2008,150711,1074,district
2008,150712,1353,district
2008,150713,1460,district
2008,150714,6010,district
2008,150715,1460,district
2008,150716,4762,district
2008,150717,1899,district
2008,150718,1512,district
2008,150719,1102,district
2008,150720,505,district
2008,150721,1728,district
2008,150722,5448,district
2008,150723,1877,district
2008,150724,1296,district
2008,150725,270,district
2008,150726,692,district
2008,150727,2442,district
2008,150728,10920,district
2008,150729,591,district
2008,150730,695,district
2008,150731,3146,district
2008,150732,1931,district
