ubigeo,year,population,level
010400,1993,36559,province
010400,1994,37044,province
010400,1995,37567,province
010401,1990,14973,district
010401,1991,15780,district
010401,1992,16623,district
010401,1993,17468,district
010401,1994,18284,district
010401,1995,19038,district
010402,1990,10135,district
010402,1991,10002,district
010402,1992,9834,district
010402,1993,9657,district
010402,1994,9497,district
010402,1995,9380,district
010403,1990,9970,district
010403,1991,9819,district
010403,1992,9630,district
010403,1993,9434,district
010403,1994,9263,district
010403,1995,9149,district
010500,1990,47759,province
010500,1991,48180,province
010500,1992,48537,province
010500,1993,48872,province
010500,1994,49226,province
010500,1995,49640,province
010501,1990,2762,district
010501,1991,2769,district
010501,1992,2789,district
010501,1993,2812,district
010501,1994,2840,district
010501,1995,2867,district
010502,1990,4935,district
010502,1991,5004,district
010502,1992,5041,district
010502,1993,5073,district
010502,1994,5119,district
010502,1995,5206,district
010503,1990,1961,district
010503,1991,2008,district
010503,1992,2054,district
010503,1993,2099,district
010503,1994,2141,district
010503,1995,2181,district
010504,1990,2890,district
010504,1991,2913,district
010504,1992,2930,district
010504,1993,2945,district
010504,1994,2959,district
010504,1995,2975,district
010505,1990,2123,district
010505,1991,2149,district
010505,1992,2172,district
010505,1993,2194,district
010505,1994,2214,district
010505,1995,2236,district
010506,1990,1012,district
010506,1991,1013,district
010506,1992,1014,district
010506,1993,1016,district
010506,1994,1017,district
010506,1995,1018,district
010507,1990,705,district
010507,1991,720,district
010507,1992,734,district
010507,1993,748,district
010507,1994,762,district
010507,1995,777,district
010508,1990,1355,district
010508,1991,1359,district
010508,1992,1362,district
010508,1993,1366,district
010508,1994,1369,district
010508,1995,1373,district
010509,1990,4077,district
010509,1991,4124,district
010509,1992,4165,district
010509,1993,4202,district
010509,1994,4239,district
010509,1995,4280,district
010510,1990,395,district
010510,1991,379,district
010510,1992,361,district
010510,1993,345,district
010510,1994,331,district
010510,1995,324,district
010511,1990,798,district
010511,1991,814,district
010511,1992,829,district
010511,1993,843,district
010511,1994,857,district
010511,1995,869,district
010512,1990,3023,district
010512,1991,3053,district
010512,1992,3077,district
010512,1993,3099,district
010512,1994,3121,district
010512,1995,3145,district
010513,1990,3673,district
010513,1991,3646,district
010513,1992,3609,district
010513,1993,3570,district
010513,1994,3537,district
010513,1995,3516,district
010514,1990,4775,district
010514,1991,4858,district
010514,1992,4934,district
010514,1993,5005,district
010514,1994,5074,district
010514,1995,5139,district
010515,1990,1318,district
010515,1991,1377,district
010515,1992,1438,district
010515,1993,1500,district
010515,1994,1560,district
010515,1995,1618,district
010516,1990,839,district
010516,1991,837,district
010516,1992,835,district
010516,1993,832,district
010516,1994,830,district
010516,1995,828,district
010517,1990,791,district
010517,1991,808,district
010517,1992,825,district
010517,1993,841,district
010517,1994,858,district
010517,1995,874,district
010518,1990,1165,district
010518,1991,1179,district
010518,1992,1192,district
010518,1993,1203,district
010518,1994,1215,district
010518,1995,1228,district
010519,1990,708,district
010519,1991,712,district
010519,1992,715,district
010519,1993,717,district
010519,1994,720,district
010519,1995,724,district
010520,1990,1565,district
010520,1991,1568,district
010520,1992,1570,district
010520,1993,1573,district
010520,1994,1575,district
010520,1995,1578,district
010521,1990,4419,district
010521,1991,4415,district
010521,1992,4412,district
010521,1993,4408,district
010521,1994,4405,district
010521,1995,4401,district
010522,1990,1196,district
010522,1991,1187,district
010522,1992,1179,district
010522,1993,1170,district
010522,1994,1162,district
010522,1995,1153,district
010523,1990,1274,district
010523,1991,1288,district
010523,1992,1300,district
010523,1993,1311,district
010523,1994,1321,district
010523,1995,1330,district
