ubigeo,year,population,level
010502,1996,5252,district
010502,1997,5306,district
010502,1998,5374,district
010502,1999,5450,district
010502,2000,5533,district
010503,1996,2217,district
010503,1997,2249,district
010503,1998,2280,district
010503,1999,2312,district
010503,2000,2346,district
010504,1996,2993,district
010504,1997,3013,district
010504,1998,3032,district
010504,1999,3049,district
010504,2000,3063,district
010505,1996,2259,district
010505,1997,2283,district
010505,1998,2307,district
010505,1999,2328,district
010505,2000,2346,district
010506,1996,1021,district
010506,1997,1025,district
010506,1998,1029,district
010506,1999,1033,district
010506,2000,1037,district
010507,1996,793,district
010507,1997,810,district
010507,1998,827,district
010507,1999,845,district
010507,2000,864,district
010508,1996,1384,district
010508,1997,1396,district
010508,1998,1412,district
010508,1999,1432,district
010508,2000,1457,district
010509,1996,4327,district
010509,1997,4377,district
010509,1998,4428,district
010509,1999,4477,district
010509,2000,4520,district
010510,1996,331,district
010510,1997,339,district
010510,1998,346,district
010510,1999,354,district
010510,2000,361,district
010511,1996,879,district
010511,1997,887,district
010511,1998,894,district
010511,1999,903,district
010511,2000,914,district
010512,1996,3174,district
010512,1997,3206,district
010512,1998,3237,district
010512,1999,3265,district
010512,2000,3285,district
010513,1996,3524,district
010513,1997,3531,district
010513,1998,3539,district
010513,1999,3546,district
010513,2000,3554,district
010514,1996,5186,district
010514,1997,5238,district
010514,1998,5289,district
010514,1999,5338,district
010514,2000,5384,district
010515,1996,1674,district
010515,1997,1730,district
010515,1998,1784,district
010515,1999,1834,district
010515,2000,1877,district
010516,1996,834,district
010516,1997,841,district
010516,1998,852,district
010516,1999,866,district
010516,2000,884,district
010517,1996,891,district
010517,1997,907,district
010517,1998,924,district
010517,1999,941,district
010517,2000,958,district
010518,1996,1242,district
010518,1997,1256,district
010518,1998,1271,district
010518,1999,1288,district
010518,2000,1309,district
010519,1996,728,district
010519,1997,732,district
010519,1998,737,district
010519,1999,746,district
010519,2000,761,district
010520,1996,1594,district
010520,1997,1616,district
010520,1998,1641,district
010520,1999,1671,district
010520,2000,1704,district
010521,1996,4410,district
010521,1997,4419,district
010521,1998,4429,district
010521,1999,4438,district
010521,2000,4447,district
010522,1996,1178,district
010522,1997,1216,district
010522,1998,1262,district
010522,1999,1311,district
010522,2000,1358,district
010523,1996,1337,district
010523,1997,1341,district
010523,1998,1345,district
010523,1999,1350,district
010523,2000,1358,district
010600,1996,22911,province
010600,1997,23160,province
010600,1998,23416,province
010600,1999,23679,province
010600,2000,23950,province
010601,1996,4161,district
010601,1997,4196,district
010601,1998,4230,district
010601,1999,4265,district
010601,2000,4299,district
010602,1996,1578,district
010602,1997,1610,district
010602,1998,1642,district
010602,1999,1674,district
010602,2000,1706,district
010603,1996,606,district
010603,1997,611,district
010603,1998,615,district
010603,1999,620,district
010603,2000,625,district
010604,1996,4316,district
010604,1997,4323,district
010604,1998,4332,district
010604,1999,4345,district
010604,2000,4362,district
010605,1996,2010,district
010605,1997,2013,district
010605,1998,2017,district
010605,1999,2020,district
010605,2000,2024,district
010606,1996,1919,district
010606,1997,1923,district
010606,1998,1926,district
010606,1999,1930,district
010606,2000,1933,district
010607,1996,1691,district
010607,1997,1700,district
010607,1998,1710,district
010607,1999,1719,district
010607,2000,1729,district
010608,1996,814,district
010608,1997,818,district
010608,1998,822,district
010608,1999,826,district
010608,2000,830,district
010609,1996,4353,district
010609,1997,4481,district
010609,1998,4614,district
010609,1999,4750,district
010609,2000,4890,district
010610,1996,679,district
010610,1997,686,district
010610,1998,692,district
010610,1999,699,district
010610,2000,705,district
010611,1996,555,district
010611,1997,562,district
010611,1998,570,district
010611,1999,577,district
010611,2000,585,district
010612,1996,229,district
010612,1997,237,district
010612,1998,246,district
010612,1999,254,district
010612,2000,262,district
010700,1996,115596,province
010700,1997,118309,province
010700,1998,121033,province
010700,1999,123741,province
010700,2000,126404,province
010701,1996,47131,district
010701,1997,48743,district
010701,1998,50385,district
010701,1999,52033,district
010701,2000,53652,district
010702,1996,28651,district
010702,1997,29078,district
010702,1998,29508,district
010702,1999,29936,district
010702,2000,30359,district
010703,1996,11416,district
010703,1997,11580,district
010703,1998,11742,district
010703,1999,11896,district
010703,2000,12039,district
010704,1996,6521,district
010704,1997,6697,district
010704,1998,6861,district
010704,1999,7024,district
010704,2000,7197,district
010705,1996,8415,district
010705,1997,8598,district
010705,1998,8773,district
010705,1999,8945,district
010705,2000,9116,district
010706,1996,9449,district
010706,1997,9577,district
010706,1998,9706,district
010706,1999,9829,district
010706,2000,9945,district
010707,1996,4013,district
010707,1997,4036,district
010707,1998,4058,district
010707,1999,4078,district
010707,2000,4096,district
020000,1996,1026140,region
020000,1997,1038195,region
020000,1998,1051018,region
020000,1999,1064426,region
020000,2000,1078235,region
020100,1996,132333,province
020100,1997,134577,province
020100,1998,136821,province
020100,1999,139065,province
020100,2000,141309,province
020101,1996,49450,district
020101,1997,50453,district
020101,1998,51420,district
020101,1999,52388,district
020101,2000,53403,district
020102,1996,2288,district
020102,1997,2308,district
020102,1998,2334,district
020102,1999,2361,district
020102,2000,2387,district
020103,1996,481,district
020103,1997,487,district
020103,1998,494,district
020103,1999,500,district
020103,2000,507,district
020104,1996,3401,district
020104,1997,3465,district
020104,1998,3528,district
020104,1999,3592,district
020104,2000,3655,district
020105,1996,52519,district
020105,1997,53480,district
020105,1998,54463,district
020105,1999,55444,district
020105,2000,56386,district
020106,1996,3861,district
020106,1997,3888,district
020106,1998,3915,district
020106,1999,3942,district
020106,2000,3968,district
020107,1996,1628,district
020107,1997,1638,district
020107,1998,1650,district
020107,1999,1662,district
020107,2000,1671,district
020108,1996,3504,district
020108,1997,3530,district
020108,1998,3557,district
020108,1999,3583,district
020108,2000,3610,district
020109,1996,1624,district
020109,1997,1636,district
020109,1998,1647,district
020109,1999,1659,district
020109,2000,1671,district
020110,1996,4137,district
020110,1997,4171,district
020110,1998,4208,district
020110,1999,4245,district
020110,2000,4281,district
020111,1996,4406,district
020111,1997,4459,district
020111,1998,4514,district
020111,1999,4570,district
020111,2000,4624,district
020112,1996,5034,district
020112,1997,5062,district
020112,1998,5091,district
020112,1999,5119,district
020112,2000,5146,district
020200,1996,8943,province
020200,1997,9003,province
020200,1998,9062,province
020200,1999,9122,province
020200,2000,9182,province
020201,1996,2363,district
020201,1997,2379,district
020201,1998,2392,district
020201,1999,2405,district
020201,2000,2420,district
020202,1996,2079,district
020202,1997,2097,district
020202,1998,2114,district
020202,1999,2131,district
020202,2000,2149,district
020203,1996,484,district
020203,1997,488,district
020203,1998,493,district
020203,1999,498,district
020203,2000,503,district
020204,1996,2925,district
020204,1997,2939,district
020204,1998,2954,district
020204,1999,2969,district
020204,2000,2982,district
020205,1996,1092,district
020205,1997,1100,district
020205,1998,1109,district
020205,1999,1119,district
020205,2000,1128,district
020300,1996,20133,province
020300,1997,20222,province
020300,1998,20312,province
020300,1999,20401,province
020300,2000,20491,province
020301,1996,4633,district
020301,1997,4641,district
020301,1998,4648,district
020301,1999,4657,district
020301,2000,4668,district
020302,1996,3198,district
020302,1997,3241,district
020302,1998,3282,district
020302,1999,3324,district
020302,2000,3368,district
020303,1996,2530,district
020303,1997,2526,district
020303,1998,2522,district
020303,1999,2518,district
020303,2000,2514,district
020304,1996,2474,district
020304,1997,2469,district
020304,1998,2463,district
020304,1999,2458,district
020304,2000,2452,district
020305,1996,5620,district
020305,1997,5670,district
020305,1998,5724,district
020305,1999,5774,district
020305,2000,5822,district
020306,1996,1678,district
020306,1997,1675,district
020306,1998,1673,district
020306,1999,1670,district
020306,2000,1667,district
020400,1996,10373,province
020400,1997,10439,province
020400,1998,10505,province
020400,1999,10571,province
020400,2000,10637,province
020401,1996,5519,district
020401,1997,5582,district
020401,1998,5644,district
020401,1999,5707,district
020401,2000,5770,district
020402,1996,4854,district
020402,1997,4857,district
020402,1998,4861,district
020402,1999,4864,district
020402,2000,4867,district
020500,1996,28762,province
020500,1997,28934,province
020500,1998,29105,province
020500,1999,29277,province
020500,2000,29449,province
020501,1996,4805,district
020501,1997,4848,district
020501,1998,4890,district
020501,1999,4933,district
020501,2000,4975,district
020502,1996,215,district
020502,1997,219,district
020502,1998,223,district
020502,1999,227,district
020502,2000,231,district
020503,1996,1410,district
020503,1997,1422,district
020503,1998,1433,district
020503,1999,1445,district
020503,2000,1457,district
020504,1996,3532,district
020504,1997,3553,district
020504,1998,3575,district
020504,1999,3596,district
020504,2000,3617,district
020505,1996,1785,district
020505,1997,1793,district
020505,1998,1802,district
020505,1999,1810,district
020505,2000,1819,district
020506,1996,211,district
020506,1997,213,district
020506,1998,216,district
020506,1999,218,district
020506,2000,220,district
020507,1996,1900,district
020507,1997,1915,district
020507,1998,1929,district
020507,1999,1944,district
020507,2000,1959,district
020508,1996,8111,district
020508,1997,8149,district
020508,1998,8186,district
020508,1999,8224,district
020508,2000,8262,district
020509,1996,2164,district
020509,1997,2176,district
020509,1998,2188,district
020509,1999,2200,district
020509,2000,2212,district
020510,1996,1678,district
020510,1997,1680,district
020510,1998,1682,district
020510,1999,1684,district
020510,2000,1686,district
020511,1996,341,district
020511,1997,343,district
020511,1998,344,district
020511,1999,346,district
020511,2000,348,district
020512,1996,596,district
020512,1997,586,district
020512,1998,577,district
020512,1999,567,district
020512,2000,557,district
020513,1996,1164,district
020513,1997,1176,district
020513,1998,1188,district
020513,1999,1200,district
020513,2000,1212,district
020514,1996,299,district
020514,1997,301,district
020514,1998,304,district
020514,1999,306,district
020514,2000,309,district
020515,1996,551,district
020515,1997,560,district
020515,1998,568,district
020515,1999,577,district
020515,2000,585,district
020600,1996,42862,province
020600,1997,43372,province
020600,1998,43881,province
020600,1999,44391,province
020600,2000,44901,province
020601,1996,12244,district
020601,1997,12366,district
020601,1998,12482,district
020601,1999,12580,district
020601,2000,12654,district
020602,1996,2520,district
020602,1997,2546,district
020602,1998,2573,district
020602,1999,2603,district
020602,2000,2638,district
020603,1996,1967,district
020603,1997,1996,district
020603,1998,2026,district
020603,1999,2057,district
020603,2000,2089,district
020604,1996,2474,district
020604,1997,2489,district
020604,1998,2504,district
020604,1999,2521,district
020604,2000,2541,district
020605,1996,1969,district
020605,1997,2004,district
020605,1998,2039,district
020605,1999,2075,district
020605,2000,2111,district
020606,1996,8270,district
020606,1997,8355,district
020606,1998,8443,district
020606,1999,8537,district
020606,2000,8640,district
020607,1996,1462,district
020607,1997,1471,district
020607,1998,1482,district
020607,1999,1493,district
020607,2000,1504,district
020608,1996,2494,district
020608,1997,2535,district
020608,1998,2576,district
020608,1999,2618,district
020608,2000,2660,district
020609,1996,3636,district
020609,1997,3700,district
020609,1998,3765,district
020609,1999,3833,district
020609,2000,3904,district
020610,1996,2814,district
020610,1997,2871,district
020610,1998,2925,district
020610,1999,2980,district
020610,2000,3034,district
020611,1996,3012,district
020611,1997,3039,district
020611,1998,3066,district
020611,1999,3094,district
020611,2000,3126,district
020700,1996,21961,province
020700,1997,22041,province
020700,1998,22122,province
020700,1999,22202,province
020700,2000,22282,province
020701,1996,12160,district
020701,1997,12209,district
020701,1998,12264,district
020701,1999,12316,district
020701,2000,12359,district
020702,1996,4742,district
020702,1997,4763,district
020702,1998,4779,district
020702,1999,4797,district
020702,2000,4824,district
020703,1996,5059,district
020703,1997,5069,district
020703,1998,5079,district
020703,1999,5089,district
020703,2000,5099,district
020800,1996,38497,province
020800,1997,39005,province
020800,1998,39514,province
020800,1999,40022,province
020800,2000,40531,province
020801,1996,25520,district
020801,1997,25908,district
020801,1998,26293,district
020801,1999,26663,district
020801,2000,27015,district
020802,1996,3763,district
020802,1997,3773,district
020802,1998,3784,district
020802,1999,3803,district
020802,2000,3834,district
020803,1996,2291,district
020803,1997,2321,district
020803,1998,2352,district
020803,1999,2386,district
020803,2000,2427,district
020804,1996,6923,district
020804,1997,7003,district
020804,1998,7085,district
020804,1999,7170,district
020804,2000,7255,district
020900,1996,9324,province
020900,1997,9345,province
020900,1998,9365,province
020900,1999,9386,province
020900,2000,9406,province
020901,1996,2565,district
020901,1997,2562,district
020901,1998,2557,district
020901,1999,2553,district
020901,2000,2548,district
020902,1996,746,district
020902,1997,743,district
020902,1998,740,district
020902,1999,737,district
020902,2000,734,district
020903,1996,444,district
020903,1997,443,district
020903,1998,441,district
020903,1999,440,district
020903,2000,438,district
020904,1996,2701,district
020904,1997,2709,district
020904,1998,2719,district
020904,1999,2728,district
020904,2000,2737,district
020905,1996,1564,district
020905,1997,1585,district
020905,1998,1606,district
020905,1999,1627,district
020905,2000,1648,district
020906,1996,850,district
020906,1997,847,district
020906,1998,845,district
020906,1999,842,district
020906,2000,840,district
020907,1996,454,district
020907,1997,456,district
020907,1998,457,district
020907,1999,459,district
020907,2000,461,district
021000,1996,66142,province
021000,1997,66374,province
021000,1998,66607,province
021000,1999,66839,province
021000,2000,67071,province
021001,1996,9325,district
021001,1997,9334,district
021001,1998,9344,district
021001,1999,9353,district
021001,2000,9362,district
021002,1996,2335,district
021002,1997,2349,district
021002,1998,2363,district
021002,1999,2377,district
021002,2000,2391,district
021003,1996,3982,district
021003,1997,4011,district
021003,1998,4039,district
021003,1999,4068,district
021003,2000,4096,district
021004,1996,9591,district
021004,1997,9635,district
021004,1998,9680,district
021004,1999,9724,district
021004,2000,9768,district
021005,1996,2749,district
021005,1997,2763,district
021005,1998,2778,district
021005,1999,2792,district
021005,2000,2807,district
021006,1996,2194,district
021006,1997,2208,district
021006,1998,2223,district
021006,1999,2237,district
021006,2000,2252,district
021007,1996,4324,district
021007,1997,4334,district
021007,1998,4345,district
021007,1999,4355,district
021007,2000,4366,district
021008,1996,3258,district
021008,1997,3239,district
021008,1998,3219,district
021008,1999,3200,district
021008,2000,3181,district
021009,1996,2681,district
021009,1997,2674,district
021009,1998,2668,district
021009,1999,2661,district
021009,2000,2654,district
021010,1996,2628,district
021010,1997,2655,district
021010,1998,2683,district
021010,1999,2710,district
021010,2000,2737,district
021011,1996,3802,district
021011,1997,3815,district
021011,1998,3827,district
021011,1999,3840,district
021011,2000,3853,district
021012,1996,709,district
021012,1997,705,district
021012,1998,701,district
021012,1999,697,district
021012,2000,693,district
021013,1996,1830,district
021013,1997,1846,district
021013,1998,1861,district
021013,1999,1877,district
021013,2000,1892,district
021014,1996,12084,district
021014,1997,12137,district
021014,1998,12188,district
021014,1999,12241,district
021014,2000,12293,district
021015,1996,2558,district
021015,1997,2573,district
021015,1998,2589,district
021015,1999,2604,district
021015,2000,2619,district
021016,1996,2092,district
021016,1997,2096,district
021016,1998,2099,district
021016,1999,2103,district
021016,2000,2107,district
021100,1996,25458,province
021100,1997,25700,province
021100,1998,25941,province
021100,1999,26183,province
021100,2000,26425,province
021101,1996,19113,district
021101,1997,19328,district
021101,1998,19544,district
021101,1999,19756,district
021101,2000,19965,district
021102,1996,1218,district
021102,1997,1223,district
021102,1998,1227,district
021102,1999,1233,district
021102,2000,1240,district
021103,1996,2561,district
021103,1997,2565,district
021103,1998,2570,district
021103,1999,2576,district
021103,2000,2584,district
021104,1996,1270,district
021104,1997,1294,district
021104,1998,1317,district
021104,1999,1341,district
021104,2000,1365,district
021105,1996,1296,district
021105,1997,1290,district
021105,1998,1283,district
021105,1999,1277,district
021105,2000,1271,district
021200,1996,55228,province
021200,1997,56285,province
021200,1998,57343,province
021200,1999,58400,province
021200,2000,59457,province
021201,1996,21134,district
021201,1997,21631,district
021201,1998,22074,district
021201,1999,22473,district
021201,2000,22833,district
021202,1996,1803,district
021202,1997,1808,district
021202,1998,1815,district
021202,1999,1825,district
021202,2000,1840,district
021203,1996,1737,district
021203,1997,1762,district
021203,1998,1791,district
021203,1999,1824,district
021203,2000,1859,district
021204,1996,3364,district
021204,1997,3427,district
021204,1998,3494,district
021204,1999,3566,district
021204,2000,3650,district
021205,1996,2427,district
021205,1997,2464,district
021205,1998,2508,district
021205,1999,2556,district
021205,2000,2607,district
021206,1996,8376,district
021206,1997,8546,district
021206,1998,8731,district
021206,1999,8921,district
021206,2000,9108,district
021207,1996,7136,district
021207,1997,7273,district
021207,1998,7421,district
021207,1999,7577,district
021207,2000,7739,district
021208,1996,4718,district
021208,1997,4807,district
021208,1998,4903,district
021208,1999,5006,district
021208,2000,5116,district
021209,1996,2465,district
021209,1997,2470,district
021209,1998,2476,district
021209,1999,2485,district
021209,2000,2500,district
021210,1996,2068,district
021210,1997,2097,district
021210,1998,2130,district
021210,1999,2167,district
021210,2000,2205,district
021300,1996,25190,province
021300,1997,25583,province
021300,1998,25975,province
021300,1999,26368,province
021300,2000,26761,province
021301,1996,3865,district
021301,1997,3899,district
021301,1998,3934,district
021301,1999,3974,district
021301,2000,4018,district
021302,1996,4646,district
021302,1997,4736,district
021302,1998,4831,district
021302,1999,4928,district
021302,2000,5028,district
021303,1996,1410,district
021303,1997,1424,district
021303,1998,1440,district
021303,1999,1457,district
021303,2000,1474,district
021304,1996,2634,district
021304,1997,2647,district
021304,1998,2662,district
021304,1999,2679,district
021304,2000,2696,district
021305,1996,1848,district
021305,1997,1871,district
021305,1998,1897,district
021305,1999,1924,district
021305,2000,1951,district
021306,1996,5927,district
021306,1997,6068,district
021306,1998,6193,district
021306,1999,6307,district
021306,2000,6414,district
021307,1996,3492,district
021307,1997,3547,district
021307,1998,3603,district
021307,1999,3659,district
021307,2000,3716,district
021308,1996,1368,district
021308,1997,1391,district
021308,1998,1415,district
021308,1999,1440,district
021308,2000,1464,district
021400,1996,7011,province
021400,1997,7022,province
021400,1998,7032,province
021400,1999,7043,province
021400,2000,7054,province
021401,1996,1897,district
021401,1997,1907,district
021401,1998,1918,district
021401,1999,1929,district
021401,2000,1941,district
021402,1996,440,district
021402,1997,443,district
021402,1998,447,district
021402,1999,450,district
021402,2000,454,district
021403,1996,229,district
021403,1997,224,district
021403,1998,218,district
021403,1999,213,district
021403,2000,207,district
021404,1996,547,district
021404,1997,549,district
021404,1998,552,district
021404,1999,554,district
021404,2000,556,district
021405,1996,928,district
021405,1997,933,district
021405,1998,939,district
021405,1999,944,district
021405,2000,949,district
021406,1996,1226,district
021406,1997,1236,district
021406,1998,1245,district
021406,1999,1255,district
021406,2000,1264,district
021407,1996,189,district
021407,1997,182,district
021407,1998,174,district
021407,1999,167,district
021407,2000,159,district
021408,1996,487,district
021408,1997,482,district
021408,1998,477,district
021408,1999,472,district
021408,2000,467,district
021409,1996,625,district
021409,1997,619,district
021409,1998,614,district
021409,1999,608,district
021409,2000,603,district
021410,1996,443,district
021410,1997,447,district
021410,1998,448,district
021410,1999,451,district
021410,2000,454,district
021500,1996,29552,province
021500,1997,29890,province
021500,1998,30228,province
021500,1999,30566,province
021500,2000,30904,province
021501,1996,3150,district
021501,1997,3199,district
021501,1998,3248,district
021501,1999,3297,district
021501,2000,3346,district
021502,1996,1521,district
021502,1997,1530,district
021502,1998,1538,district
021502,1999,1547,district
021502,2000,1555,district
021503,1996,8033,district
021503,1997,8151,district
021503,1998,8272,district
021503,1999,8390,district
021503,2000,8510,district
021504,1996,949,district
021504,1997,971,district
021504,1998,992,district
021504,1999,1014,district
021504,2000,1036,district
021505,1996,1222,district
021505,1997,1231,district
021505,1998,1241,district
021505,1999,1250,district
021505,2000,1259,district
021506,1996,902,district
021506,1997,920,district
021506,1998,937,district
021506,1999,955,district
021506,2000,972,district
021507,1996,675,district
021507,1997,688,district
021507,1998,700,district
021507,1999,713,district
021507,2000,725,district
021508,1996,3269,district
021508,1997,3281,district
021508,1998,3294,district
021508,1999,3306,district
021508,2000,3318,district
021509,1996,4936,district
021509,1997,4977,district
021509,1998,5017,district
021509,1999,5058,district
021509,2000,5099,district
021510,1996,1448,district
021510,1997,1476,district
021510,1998,1505,district
021510,1999,1533,district
021510,2000,1562,district
021511,1996,3447,district
021511,1997,3466,district
021511,1998,3484,district
021511,1999,3503,district
021511,2000,3522,district
021600,1996,27489,province
021600,1997,27531,province
021600,1998,27573,province
021600,1999,27615,province
021600,2000,27657,province
021601,1996,13590,district
021601,1997,13639,district
021601,1998,13689,district
021601,1999,13738,district
021601,2000,13787,district
021602,1996,3945,district
021602,1997,3955,district
021602,1998,3964,district
021602,1999,3974,district
021602,2000,3984,district
021603,1996,7138,district
021603,1997,7127,district
021603,1998,7115,district
021603,1999,7104,district
021603,2000,7093,district
021604,1996,2816,district
021604,1997,2810,district
021604,1998,2805,district
021604,1999,2799,district
021604,2000,2793,district
021700,1996,19637,province
021700,1997,19767,province
021700,1998,19896,province
021700,1999,20026,province
021700,2000,20155,province
021701,1996,6031,district
021701,1997,6072,district
021701,1998,6112,district
021701,1999,6153,district
021701,2000,6192,district
021702,1996,4294,district
021702,1997,4300,district
021702,1998,4307,district
021702,1999,4313,district
021702,2000,4320,district
021703,1996,619,district
021703,1997,622,district
021703,1998,624,district
021703,1999,627,district
021703,2000,630,district
021704,1996,919,district
021704,1997,926,district
021704,1998,932,district
021704,1999,939,district
021704,2000,946,district
021705,1996,930,district
021705,1997,937,district
021705,1998,944,district
021705,1999,951,district
021705,2000,958,district
021706,1996,1203,district
021706,1997,1208,district
021706,1998,1212,district
021706,1999,1217,district
021706,2000,1221,district
021707,1996,1123,district
021707,1997,1131,district
021707,1998,1139,district
021707,1999,1147,district
021707,2000,1155,district
021708,1996,1122,district
021708,1997,1131,district
021708,1998,1140,district
021708,1999,1149,district
021708,2000,1158,district
021709,1996,680,district
021709,1997,682,district
021709,1998,685,district
021709,1999,687,district
021709,2000,689,district
021710,1996,2716,district
021710,1997,2758,district
021710,1998,2801,district
021710,1999,2843,district
021710,2000,2886,district
021800,1996,368832,province
021800,1997,373630,province
021800,1998,379199,province
021800,1999,385350,province
021800,2000,391902,province
021801,1996,233760,district
021801,1997,236859,district
021801,1998,240540,district
021801,1999,244659,district
021801,2000,249089,district
021802,1996,6494,district
021802,1997,6527,district
021802,1998,6560,district
021802,1999,6595,district
021802,2000,6633,district
021803,1996,14371,district
021803,1997,14531,district
021803,1998,14694,district
021803,1999,14864,district
021803,2000,15042,district
021804,1996,5167,district
021804,1997,5187,district
021804,1998,5208,district
021804,1999,5232,district
021804,2000,5261,district
021805,1996,8079,district
021805,1997,8268,district
021805,1998,8460,district
021805,1999,8653,district
021805,2000,8844,district
021806,1996,12324,district
021806,1997,12393,district
021806,1998,12465,district
021806,1999,12544,district
021806,2000,12634,district
021807,1996,4017,district
021807,1997,4087,district
021807,1998,4159,district
021807,1999,4232,district
021807,2000,4303,district
021808,1996,15512,district
021808,1997,15714,district
021808,1998,15919,district
021808,1999,16129,district
021808,2000,16345,district
021809,1996,69108,district
021809,1997,70064,district
021809,1998,71194,district
