ubigeo,year,population,level
000000,1996,24257671,country
000000,1997,24681045,country
000000,1998,25104276,country
000000,1999,25524613,country
000000,2000,25939329,country
010000,1996,382185,region
010000,1997,389901,region
010000,1998,397659,region
010000,1999,405396,region
010000,2000,413053,region
010100,1996,49024,province
010100,1997,49725,province
010100,1998,50453,province
010100,1999,51204,province
010100,2000,51982,province
010101,1996,19104,district
010101,1997,19444,district
010101,1998,19798,district
010101,1999,20151,district
010101,2000,20493,district
010102,1996,295,district
010102,1997,297,district
010102,1998,300,district
010102,1999,302,district
010102,2000,305,district
010103,1996,1233,district
010103,1997,1240,district
010103,1998,1245,district
010103,1999,1252,district
010103,2000,1262,district
010104,1996,660,district
010104,1997,666,district
010104,1998,672,district
010104,1999,679,district
010104,2000,687,district
010105,1996,1366,district
010105,1997,1390,district
010105,1998,1415,district
010105,1999,1442,district
010105,2000,1471,district
010106,1996,2380,district
010106,1997,2402,district
010106,1998,2425,district
010106,1999,2451,district
010106,2000,2479,district
010107,1996,655,district
010107,1997,670,district
010107,1998,685,district
010107,1999,698,district
010107,2000,708,district
010108,1996,536,district
010108,1997,545,district
010108,1998,555,district
010108,1999,563,district
010108,2000,570,district
010109,1996,5942,district
010109,1997,6053,district
010109,1998,6170,district
010109,1999,6299,district
010109,2000,6444,district
010110,1996,4101,district
010110,1997,4129,district
010110,1998,4155,district
010110,1999,4184,district
010110,2000,4224,district
010111,1996,1288,district
010111,1997,1300,district
010111,1998,1313,district
010111,1999,1329,district
010111,2000,1349,district
010112,1996,1206,district
010112,1997,1215,district
010112,1998,1225,district
010112,1999,1235,district
010112,2000,1247,district
010113,1996,1632,district
010113,1997,1642,district
010113,1998,1653,district
010113,1999,1664,district
010113,2000,1674,district
010114,1996,2549,district
010114,1997,2578,district
010114,1998,2609,district
010114,1999,2640,district
010114,2000,2672,district
010115,1996,1068,district
010115,1997,1077,district
010115,1998,1086,district
010115,1999,1097,district
010115,2000,1110,district
010116,1996,384,district
010116,1997,390,district
010116,1998,397,district
010116,1999,405,district
010116,2000,412,district
010117,1996,1345,district
010117,1997,1360,district
010117,1998,1375,district
010117,1999,1388,district
010117,2000,1400,district
010118,1996,352,district
010118,1997,362,district
010118,1998,371,district
010118,1999,380,district
010118,2000,387,district
010119,1996,806,district
010119,1997,814,district
010119,1998,822,district
010119,1999,831,district
010119,2000,840,district
010120,1996,1824,district
010120,1997,1849,district
010120,1998,1875,district
010120,1999,1902,district
010120,2000,1929,district
010121,1996,298,district
010121,1997,302,district
010121,1998,307,district
010121,1999,312,district
010121,2000,319,district
010200,1996,83376,province
010200,1997,85794,province
010200,1998,88168,province
010200,1999,90477,province
010200,2000,92696,province
010201,1996,34604,district
010201,1997,35524,district
010201,1998,36424,district
010201,1999,37279,district
010201,2000,38060,district
010202,1996,16088,district
010202,1997,16627,district
010202,1998,17153,district
010202,1999,17667,district
010202,2000,18170,district
010203,1996,7340,district
010203,1997,7557,district
010203,1998,7800,district
010203,1999,8054,district
010203,2000,8303,district
010204,1996,1147,district
010204,1997,1166,district
010204,1998,1190,district
010204,1999,1216,district
010204,2000,1243,district
010205,1996,24197,district
010205,1997,24920,district
010205,1998,25601,district
010205,1999,26261,district
010205,2000,26920,district
010300,1996,23025,province
010300,1997,23550,province
010300,1998,24068,province
010300,1999,24584,province
010300,2000,25103,province
010301,1996,1471,district
010301,1997,1497,district
010301,1998,1524,district
010301,1999,1564,district
010301,2000,1610,district
010302,1996,415,district
010302,1997,418,district
010302,1998,422,district
010302,1999,426,district
010302,2000,433,district
010303,1996,313,district
010303,1997,323,district
010303,1998,335,district
010303,1999,347,district
010303,2000,359,district
010304,1996,421,district
010304,1997,423,district
010304,1998,426,district
010304,1999,428,district
010304,2000,430,district
010305,1996,751,district
010305,1997,764,district
010305,1998,778,district
010305,1999,791,district
010305,2000,805,district
010306,1996,4192,district
010306,1997,4304,district
010306,1998,4414,district
010306,1999,4524,district
010306,2000,4637,district
010307,1996,8069,district
010307,1997,8207,district
010307,1998,8338,district
010307,1999,8469,district
010307,2000,8604,district
010308,1996,305,district
010308,1997,313,district
010308,1998,325,district
010308,1999,338,district
010308,2000,352,district
010309,1996,539,district
010309,1997,540,district
010309,1998,541,district
010309,1999,546,district
010309,2000,557,district
010310,1996,969,district
010310,1997,981,district
010310,1998,992,district
010310,1999,1002,district
010310,2000,1015,district
010311,1996,1421,district
010311,1997,1429,district
010311,1998,1437,district
010311,1999,1450,district
010311,2000,1473,district
010312,1996,4159,district
010312,1997,4351,district
010312,1998,4536,district
010312,1999,4699,district
010312,2000,4828,district
010400,1996,38132,province
010400,1997,38722,province
010400,1998,39331,province
010400,1999,39953,province
010400,2000,40582,province
010401,1996,19614,district
010401,1997,20215,district
010401,1998,20835,district
010401,1999,21468,district
010401,2000,22108,district
010402,1996,9356,district
010402,1997,9333,district
010402,1998,9309,district
010402,1999,9286,district
010402,2000,9262,district
010403,1996,9162,district
010403,1997,9174,district
010403,1998,9187,district
010403,1999,9199,district
010403,2000,9212,district
010500,1996,50121,province
010500,1997,50641,province
010500,1998,51190,province
010500,1999,51758,province
010500,2000,52336,province
010501,1996,2893,district
010501,1997,2923,district
010501,1998,2951,district
010501,1999,2981,district
010501,2000,3016,district
